utc_x,sample_time_x,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session_x,session_id,fin_id_x,utc_y,sample_time_y,a,g,m,session_y,fin_id_y,a2,temp_calibrated_diff,delta_temp_diff,coord,wet,temp_2_calibrated_passed,temp_calibrated_diff_passed,delta_temp_diff_passed,a2_passed
2017-12-11T16:20:32.7030+00:00,1154008544,1513009232.7025,-117.25346,32.7474,323,20.188,False,4972,19.477999999999998,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:20:33.2250+00:00,1154009065,"[499, -5, 142]","[6, 25, 10]","[-92, -122, 434]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,-5.0,-0.7100000000000009,0.0,POINT (-117.25346 32.7474),True,True,True,True,False
2017-12-11T16:20:38.7370+00:00,1154014564,1513009238.7366,-117.25346,32.7474,322,20.125,False,4945,19.372,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:20:38.7410+00:00,1154014568,"[507, 54, 73]","[-11, 18, 25]","[-54, -168, 460]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,54.0,-0.7530000000000001,-0.04299999999999926,POINT (-117.25346 32.7474),True,True,True,False,False
2017-12-11T16:20:44.7720+00:00,1154020585,1513009244.7716,-117.25347,32.7474,321,20.062,False,4977,19.498,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:20:44.7520+00:00,1154020565,"[470, 4, 221]","[73, 42, 71]","[-75, -141, 401]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,4.0,-0.5640000000000001,0.18900000000000006,POINT (-117.25347 32.7474),True,True,True,False,False
2017-12-11T16:20:50.8060+00:00,1154026605,1513009250.8056,-117.25349,32.7474,320,20.0,False,4985,19.529,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:20:50.7710+00:00,1154026570,"[40, 92, 463]","[-257, -35, -30]","[96, -160, 202]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,92.0,-0.4710000000000001,0.09299999999999997,POINT (-117.25349 32.7474),True,True,True,False,False
2017-12-11T16:20:56.8400+00:00,1154032625,1513009256.8397,-117.25356,32.74738,320,20.0,False,4933,19.326,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:20:56.7820+00:00,1154032567,"[-46, 29, 580]","[-83, 30, 488]","[278, -164, 250]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,29.0,-0.6739999999999995,-0.2029999999999994,POINT (-117.25356 32.74738),True,True,True,False,False
2017-12-11T16:21:02.8730+00:00,1154038644,1513009262.8727,-117.25362,32.74736,319,19.938,False,4903,19.208,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:02.7980+00:00,1154038569,"[-288, 106, 359]","[-304, 129, 239]","[196, -186, 228]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,106.0,-0.7300000000000004,-0.05600000000000094,POINT (-117.25362 32.74736),True,True,True,False,False
2017-12-11T16:21:08.9060+00:00,1154044663,1513009268.9058,-117.25369,32.74736,319,19.938,False,4874,19.094,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:08.8080+00:00,1154044565,"[-26, 51, 535]","[-42, 50, 78]","[242, -158, 220]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,51.0,-0.8439999999999976,-0.11399999999999721,POINT (-117.25369 32.74736),True,True,False,False,False
2017-12-11T16:21:14.9410+00:00,1154050684,1513009274.9408,-117.25381,32.74737,319,19.938,False,4858,19.032,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:14.8240+00:00,1154050567,"[-160, 108, 586]","[-146, -183, -177]","[237, -171, 235]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,108.0,-0.9059999999999988,-0.062000000000001165,POINT (-117.25381 32.74737),True,True,False,False,False
2017-12-11T16:21:20.9750+00:00,1154056704,1513009280.9749,-117.25385,32.74739,318,19.875,False,4818,18.875,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:21.0890+00:00,1154056818,"[68, 271, -189]","[1997, -181, 418]","[178, -248, 552]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,271.0,-1.0,-0.0940000000000012,POINT (-117.25385 32.74739),True,True,False,False,False
2017-12-11T16:21:27.0090+00:00,1154062724,1513009287.0089,-117.25387,32.74742,315,19.688,False,4293,16.819000000000003,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:27.1030+00:00,1154062818,"[17, 543, 29]","[133, -33, 62]","[232, -248, 512]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,543.0,-2.868999999999996,-1.8689999999999962,POINT (-117.25387 32.74742),True,True,False,False,True
2017-12-11T16:21:33.0430+00:00,1154068744,1513009293.043,-117.25388,32.74741,306,19.125,False,4152,16.267,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:33.1180+00:00,1154068819,"[235, 199, 361]","[-64, 251, 21]","[63, -267, 407]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,199.0,-2.8580000000000005,0.01099999999999568,POINT (-117.25388 32.74741),True,True,False,False,False
2017-12-11T16:21:39.0760+00:00,1154074763,1513009299.076,-117.25391,32.74742,298,18.625,False,4130,16.180999999999997,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:39.1300+00:00,1154074817,"[41, 502, 28]","[118, -28, 54]","[179, -245, 549]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,502.0,-2.4440000000000026,0.4139999999999979,POINT (-117.25391 32.74742),True,True,False,False,True
2017-12-11T16:21:45.1100+00:00,1154080783,1513009305.1101,-117.25394,32.74745,292,18.25,False,4135,16.201,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:45.1440+00:00,1154080817,"[263, 513, 2]","[158, 220, 226]","[159, -245, 551]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,513.0,-2.0489999999999995,0.3950000000000031,POINT (-117.25394 32.74745),True,True,False,False,True
2017-12-11T16:21:51.1450+00:00,1154086804,1513009311.1451,-117.25407,32.74743,287,17.938,False,4147,16.248,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:51.1600+00:00,1154086819,"[247, 424, 40]","[99, 167, -4]","[249, -235, 505]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,424.0,-1.6899999999999977,0.35900000000000176,POINT (-117.25407 32.74743),True,True,False,False,True
2017-12-11T16:21:57.1810+00:00,1154092826,1513009317.1812,-117.25412,32.74743,283,17.688,False,4138,16.212,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:21:57.1700+00:00,1154092815,"[86, 270, -26]","[-812, -150, -689]","[214, -254, 510]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,270.0,-1.475999999999999,0.21399999999999864,POINT (-117.25412 32.74743),True,True,False,False,False
2017-12-11T16:22:03.2150+00:00,1154098846,1513009323.2152,-117.25415,32.74742,279,17.438,False,4137,16.208,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:22:03.1900+00:00,1154098821,"[99, 321, -63]","[-60, 363, -643]","[194, -268, 348]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,321.0,-1.2300000000000004,0.24599999999999866,POINT (-117.25415 32.74742),True,True,False,False,False
2017-12-11T16:22:09.2500+00:00,1154104867,1513009329.2503,-117.25418,32.74742,277,17.312,False,4137,16.208,False,,,,,,,facebook_10213517683684254_0006667E2297_171211162024,12685.0,7E2297,2017-12-11T16:22:09.2020+00:00,1154104819,"[135, 521, 15]","[1, -7, 8]","[125, -239, 557]",facebook_10213517683684254_0006667E2297_171211162024,7E2297,521.0,-1.1040000000000028,0.12599999999999767,POINT (-117.25418 32.74742),True,True,False,False,True
