utc,sample_time,a,g,m,epoch,session,fin_id
2017-12-11T16:20:33.2250+00:00,1154009065,"[499, -5, 142]","[6, 25, 10]","[-92, -122, 434]",1513009233.2247,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:33.4760+00:00,1154009316,"[497, -4, 144]","[5, 25, 13]","[-83, -129, 449]",1513009233.4763,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:33.7280+00:00,1154009567,"[494, -12, 147]","[7, 23, 14]","[-72, -124, 452]",1513009233.7279,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:33.9790+00:00,1154009818,"[500, -24, 138]","[6, 28, -1]","[-68, -118, 440]",1513009233.9795,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:34.2330+00:00,1154010071,"[492, -24, 144]","[48, 24, -45]","[-79, -121, 437]",1513009234.2331,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:34.4840+00:00,1154010321,"[492, 49, 145]","[-38, -35, -110]","[-67, -135, 449]",1513009234.4836,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:34.7350+00:00,1154010572,"[506, 81, 117]","[16, 61, 22]","[-63, -151, 451]",1513009234.7352,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:34.9860+00:00,1154010822,"[481, 13, 149]","[42, 17, 61]","[-67, -149, 449]",1513009234.9858,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:35.2360+00:00,1154011072,"[513, 25, 105]","[12, 35, 29]","[-76, -142, 460]",1513009235.2364,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:35.4880+00:00,1154011323,"[512, 56, 123]","[-57, 86, 59]","[-74, -130, 444]",1513009235.4880,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:35.7390+00:00,1154011573,"[479, -44, 155]","[89, -67, 103]","[-78, -132, 450]",1513009235.7386,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:35.9890+00:00,1154011823,"[517, -36, 91]","[68, -13, 49]","[-76, -106, 466]",1513009235.9892,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:36.2330+00:00,1154012066,"[493, -9, 123]","[-15, 27, -58]","[-72, -112, 458]",1513009236.2327,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:36.4840+00:00,1154012317,"[502, -4, 114]","[10, -28, -61]","[-67, -125, 465]",1513009236.4843,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:36.7350+00:00,1154012567,"[505, 14, 74]","[175, -130, 36]","[-72, -128, 476]",1513009236.7349,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:36.9850+00:00,1154012817,"[499, 4, 146]","[38, 67, 76]","[-76, -118, 504]",1513009236.9855,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:37.2380+00:00,1154013069,"[491, -1, -21]","[87, 98, 87]","[-74, -102, 482]",1513009237.2381,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:37.4890+00:00,1154013319,"[523, -22, 44]","[-100, 9, -50]","[-77, -97, 497]",1513009237.4886,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:37.7440+00:00,1154013574,"[511, 2, 65]","[-123, 41, -103]","[-71, -117, 499]",1513009237.7442,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:37.9950+00:00,1154013824,"[503, 17, 65]","[-204, 25, -98]","[-65, -133, 479]",1513009237.9948,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:38.2360+00:00,1154014065,"[503, 86, 80]","[-66, 41, -52]","[-66, -158, 474]",1513009238.2364,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:38.4880+00:00,1154014316,"[507, 44, 69]","[23, 39, 8]","[-55, -161, 465]",1513009238.4880,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:38.7410+00:00,1154014568,"[507, 54, 73]","[-11, 18, 25]","[-54, -168, 460]",1513009238.7406,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:38.9920+00:00,1154014819,"[503, 50, 79]","[16, 34, 33]","[-60, -148, 468]",1513009238.9921,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:39.2440+00:00,1154015070,"[505, 53, 80]","[22, 20, 23]","[-49, -151, 469]",1513009239.2437,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:39.4950+00:00,1154015321,"[506, 40, 70]","[11, 22, 15]","[-62, -162, 474]",1513009239.4953,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:39.7470+00:00,1154015572,"[504, 36, 78]","[8, 34, 6]","[-55, -149, 471]",1513009239.7469,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:39.9980+00:00,1154015823,"[507, 56, 71]","[-15, 29, -11]","[-66, -158, 458]",1513009239.9985,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:40.2490+00:00,1154016073,"[503, 53, 78]","[5, 34, 9]","[-62, -148, 460]",1513009240.2491,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:40.5000+00:00,1154016323,"[506, 48, 72]","[4, 32, 24]","[-56, -150, 460]",1513009240.4997,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:40.7500+00:00,1154016573,"[503, 36, 75]","[17, 21, 15]","[-51, -157, 469]",1513009240.7502,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:41.0010+00:00,1154016823,"[508, 55, 70]","[7, 35, 14]","[-58, -150, 472]",1513009241.0008,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:41.2520+00:00,1154017074,"[502, 49, 81]","[23, 16, 13]","[-68, -158, 462]",1513009241.2524,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:41.4940+00:00,1154017315,"[509, 38, 63]","[-7, 33, 6]","[-62, -162, 458]",1513009241.4940,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:41.7460+00:00,1154017566,"[501, 37, 81]","[2, 47, 28]","[-58, -162, 462]",1513009241.7456,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:41.9970+00:00,1154017817,"[507, 46, 81]","[-53, 56, 26]","[-69, -151, 467]",1513009241.9971,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:42.2480+00:00,1154018067,"[512, 30, 83]","[123, 48, 39]","[-63, -149, 463]",1513009242.2477,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:42.4980+00:00,1154018317,"[504, 41, 95]","[18, 47, 20]","[-74, -146, 462]",1513009242.4983,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:42.7490+00:00,1154018567,"[509, 32, 93]","[61, 36, 4]","[-68, -140, 472]",1513009242.7489,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:42.9990+00:00,1154018817,"[502, 54, 99]","[-49, 24, -33]","[-59, -147, 461]",1513009242.9995,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:43.2510+00:00,1154019068,"[505, 33, 92]","[-102, 46, -18]","[-61, -153, 455]",1513009243.2511,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:43.5040+00:00,1154019320,"[502, 82, 110]","[1, 81, 4]","[-59, -155, 453]",1513009243.5036,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:43.7590+00:00,1154019575,"[500, 24, 126]","[-107, 95, 12]","[-59, -157, 439]",1513009243.7592,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:44.0000+00:00,1154019815,"[493, 44, 153]","[7, 105, 29]","[-62, -164, 420]",1513009243.9998,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:44.2510+00:00,1154020066,"[494, 62, 173]","[-121, 126, 37]","[-69, -155, 417]",1513009244.2514,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:44.5010+00:00,1154020315,"[477, -15, 200]","[112, 105, 87]","[-71, -155, 395]",1513009244.5010,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:44.7520+00:00,1154020565,"[470, 4, 221]","[73, 42, 71]","[-75, -141, 401]",1513009244.7516,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:45.0060+00:00,1154020819,"[477, 4, 206]","[65, -4, 49]","[-79, -131, 401]",1513009245.0061,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:45.2580+00:00,1154021070,"[481, -16, 197]","[45, 2, 41]","[-78, -138, 412]",1513009245.2577,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:45.5090+00:00,1154021321,"[487, -2, 187]","[238, -27, 15]","[-88, -132, 424]",1513009245.5093,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:45.7600+00:00,1154021571,"[503, 57, 157]","[65, -28, -80]","[-77, -123, 439]",1513009245.7599,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:46.0120+00:00,1154021823,"[502, 94, 137]","[-151, 88, -105]","[-77, -153, 445]",1513009246.0125,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:46.2630+00:00,1154022073,"[468, 180, 207]","[148, 244, -179]","[-69, -159, 421]",1513009246.2631,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:46.5140+00:00,1154022323,"[494, 90, 199]","[-394, 254, -245]","[-39, -185, 391]",1513009246.5137,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:46.7640+00:00,1154022573,"[397, 215, 341]","[-293, 425, -208]","[-25, -207, 337]",1513009246.7642,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:47.0160+00:00,1154022824,"[423, 346, 533]","[-782, 236, -79]","[17, -201, 269]",1513009247.0158,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:47.2570+00:00,1154023065,"[286, -74, 543]","[-1093, 215, -43]","[32, -110, 190]",1513009247.2574,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:47.5090+00:00,1154023316,"[251, -208, 436]","[511, 370, -65]","[74, -72, 158]",1513009247.5090,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:47.7600+00:00,1154023566,"[150, 16, 374]","[222, 209, -238]","[119, -145, 181]",1513009247.7596,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:48.0110+00:00,1154023817,"[93, 167, 549]","[-715, -64, -64]","[139, -201, 229]",1513009248.0111,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:48.2620+00:00,1154024067,"[347, 14, 436]","[-21, 6, 17]","[114, -156, 190]",1513009248.2617,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:48.5140+00:00,1154024319,"[62, -179, 955]","[40, 113, -30]","[144, -148, 190]",1513009248.5143,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:48.7650+00:00,1154024569,"[97, 45, 458]","[99, 167, 235]","[156, -188, 216]",1513009248.7649,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:49.0150+00:00,1154024819,"[14, 122, 835]","[-83, 287, 186]","[151, -171, 209]",1513009249.0155,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:49.2670+00:00,1154025070,"[37, 132, 584]","[513, 323, -8]","[177, -201, 241]",1513009249.2671,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:49.5190+00:00,1154025321,"[-206, 264, 508]","[417, 351, 382]","[182, -248, 308]",1513009249.5187,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:49.7700+00:00,1154025572,"[-10, 176, 311]","[-608, 541, 375]","[161, -229, 271]",1513009249.7702,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:50.0160+00:00,1154025817,"[-312, 286, 633]","[-482, 165, 292]","[158, -190, 222]",1513009250.0158,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:50.2670+00:00,1154026068,"[-125, 73, 314]","[61, -366, -105]","[133, -157, 197]",1513009250.2674,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:50.5190+00:00,1154026319,"[-54, 141, 1015]","[137, -245, -48]","[103, -191, 225]",1513009250.5190,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:50.7710+00:00,1154026570,"[40, 92, 463]","[-257, -35, -30]","[96, -160, 202]",1513009250.7706,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:51.0200+00:00,1154026819,"[-161, 41, 973]","[65, 223, -133]","[112, -162, 196]",1513009251.0201,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:51.2710+00:00,1154027069,"[-140, 39, 359]","[327, 92, -195]","[138, -178, 210]",1513009251.2707,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:51.5230+00:00,1154027321,"[-100, 6, 873]","[-143, 238, 45]","[165, -201, 233]",1513009251.5233,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:51.7740+00:00,1154027571,"[31, 82, 458]","[-152, -26, 311]","[157, -161, 195]",1513009251.7739,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:52.0250+00:00,1154027822,"[-156, 57, 764]","[-11, -52, 105]","[118, -156, 190]",1513009252.0255,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:52.2770+00:00,1154028073,"[-141, 37, 352]","[132, -156, -69]","[115, -165, 199]",1513009252.2771,facebook_10213517683684254_0006667E2297_171211162024,7E2297
2017-12-11T16:20:52.5290+00:00,1154028324,"[-49, 173, 999]","[-69, 72, 50]","[100, -194, 226]",1513009252.5287,facebook_10213517683684254_0006667E2297_171211162024,7E2297
