utc_x,sample_time_x,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session_x,session_id,fin_id_x,utc_y,sample_time_y,a,g,m,session_y,fin_id_y,a2,temp_calibrated_diff,delta_temp_diff,coord,wet,temp_2_calibrated_passed,temp_calibrated_diff_passed,delta_temp_diff_passed,a2_passed
2018-10-19T18:37:56.2550+00:00,422589221,1539974276.255,-157.84117,21.28155,480,30.0,False,8139,31.793000000000003,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:37:56.2370+00:00,422589203,"[-27, 29, -529]","[38, -310, -22]","[-68, 84, 268]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,29.0,1.7930000000000028,-0.11400000000000077,POINT (-157.84117 21.28155),False,True,False,False,False
2018-10-19T18:38:02.2740+00:00,422595240,1539974282.274,-157.8412,21.28153,484,30.25,False,8137,31.785,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:38:02.2380+00:00,422595204,"[110, -513, -15]","[-280, -30, 36]","[-98, 154, 196]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,-513.0,1.5350000000000001,-0.25800000000000267,POINT (-157.8412 21.28153),False,True,False,False,False
2018-10-19T18:38:08.2950+00:00,422601261,1539974288.295,-157.8412,21.28152,494,30.875,False,8068,31.516,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:38:08.2360+00:00,422601202,"[-47, 273, 421]","[589, 69, -99]","[-44, -32, 62]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,273.0,0.6409999999999982,-0.8940000000000019,POINT (-157.8412 21.28152),True,True,False,False,False
2018-10-19T18:38:14.3150+00:00,422607281,1539974294.315,-157.84117,21.28151,486,30.375,False,7766,30.336,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:38:14.2370+00:00,422607203,"[-54, 555, 56]","[4, 70, 102]","[-33, -83, 175]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,555.0,-0.03900000000000148,-0.6799999999999997,POINT (-157.84117 21.28151),True,True,True,False,True
2018-10-19T18:38:20.3350+00:00,422613301,1539974300.335,-157.84113,21.28153,482,30.125,False,7475,29.199,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:38:20.2290+00:00,422613195,"[-63, 618, -22]","[231, 60, 40]","[-9, -73, 255]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,618.0,-0.9259999999999984,-0.8869999999999969,POINT (-157.84113 21.28153),True,True,False,False,False
2018-10-19T18:38:26.3550+00:00,422619321,1539974306.355,-157.8411,21.28154,479,29.938000000000002,False,7293,28.488000000000003,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:38:26.2370+00:00,422619203,"[-35, 573, 11]","[-117, 16, -44]","[-15, -81, 263]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,573.0,-1.4499999999999993,-0.5240000000000009,POINT (-157.8411 21.28154),True,True,False,False,True
2018-10-19T18:38:32.3750+00:00,422625341,1539974312.375,-157.84113,21.28153,475,29.688000000000002,False,7182,28.055,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:38:32.4790+00:00,422625445,"[-45, 442, 60]","[51, 115, -45]","[9, -91, 245]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,442.0,-1.6330000000000027,-0.18300000000000338,POINT (-157.84113 21.28153),True,True,False,False,True
2018-10-19T18:38:38.3960+00:00,422631362,1539974318.396,-157.84114,21.28152,472,29.5,False,7098,27.726999999999997,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:38:38.4810+00:00,422631447,"[-77, 526, 28]","[-63, -46, 18]","[5, -95, 247]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,526.0,-1.7730000000000032,-0.14000000000000057,POINT (-157.84114 21.28152),True,True,False,False,True
2018-10-19T18:38:44.4170+00:00,422637383,1539974324.417,-157.84115,21.28151,468,29.25,False,7038,27.491999999999997,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:38:44.4810+00:00,422637447,"[-107, 491, 6]","[-71, 8, -24]","[18, -86, 284]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,491.0,-1.7580000000000027,0.015000000000000568,POINT (-157.84115 21.28151),True,True,False,False,True
2018-10-19T18:38:50.4370+00:00,422643403,1539974330.437,-157.84115,21.2815,464,29.0,False,6993,27.316,False,,,,,,,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C,2018-10-19T18:38:50.4810+00:00,422643447,"[-80, 499, 42]","[36, -42, -100]","[26, -100, 268]",facebook_1103136599837253_000666DD991C_181019183705,DD991C,499.0,-1.684000000000001,0.07400000000000162,POINT (-157.84115 21.2815),True,True,False,False,True
