utc,sample_time,a,g,m,epoch,session,fin_id
2018-10-19T18:37:14.6290+00:00,422547595,"[-368, 352, -9]","[87, 34, -2]","[103, -147, 191]",1539974234.6290,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:14.8790+00:00,422547845,"[-354, 285, 107]","[110, -1, 8]","[93, -137, 205]",1539974234.8790,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:15.1290+00:00,422548095,"[-395, 351, -116]","[133, 81, 37]","[96, -138, 224]",1539974235.1290,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:15.3790+00:00,422548345,"[-336, 260, 8]","[2, 21, 29]","[97, -131, 231]",1539974235.3790,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:15.6300+00:00,422548596,"[-355, 367, -23]","[-79, 6, 82]","[83, -137, 233]",1539974235.6300,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:15.8800+00:00,422548846,"[-353, 464, -56]","[-351, -60, 76]","[71, -149, 201]",1539974235.8800,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:16.1310+00:00,422549097,"[-337, 389, 125]","[-187, -41, 31]","[72, -144, 180]",1539974236.1310,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:16.3810+00:00,422549347,"[-335, 391, 98]","[171, 22, 4]","[74, -142, 178]",1539974236.3810,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:16.6310+00:00,422549597,"[-318, 371, 51]","[158, 28, -2]","[73, -151, 205]",1539974236.6310,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:16.8830+00:00,422549849,"[-327, 419, 91]","[-57, -9, 0]","[70, -138, 186]",1539974236.8830,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:17.1330+00:00,422550099,"[-318, 380, 66]","[50, 24, -5]","[71, -137, 191]",1539974237.1330,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:17.3830+00:00,422550349,"[-325, 440, 94]","[73, 9, -2]","[73, -141, 193]",1539974237.3830,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:17.6340+00:00,422550600,"[-322, 371, 45]","[31, 5, 10]","[72, -148, 188]",1539974237.6340,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:17.8850+00:00,422550851,"[-323, 433, 41]","[129, -7, 1]","[66, -140, 198]",1539974237.8850,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:18.1370+00:00,422551103,"[-320, 405, 104]","[32, -3, 1]","[65, -143, 199]",1539974238.1370,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:18.3880+00:00,422551354,"[-309, 376, 15]","[3, 18, 0]","[68, -140, 196]",1539974238.3880,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:18.6300+00:00,422551596,"[-317, 368, 76]","[25, 2, 2]","[69, -147, 203]",1539974238.6300,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:18.8790+00:00,422551845,"[-323, 446, -4]","[38, 14, 16]","[64, -148, 200]",1539974238.8790,facebook_1103136599837253_000666DD991C_181019183705,DD991C
2018-10-19T18:37:19.1320+00:00,422552098,"[-310, 410, 224]","[61, 23, -12]","[63, -135, 199]",1539974239.1320,facebook_1103136599837253_000666DD991C_181019183705,DD991C
