utc,sample_time,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session,session_id,fin_id
2018-10-19T18:37:14.1110+00:00,422547077,1539974234.1110,N/A,N/A,465,29.062,False,7904,30.875,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:37:20.1310+00:00,422553097,1539974240.1310,N/A,N/A,467,29.188,False,7943,31.027,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:37:26.1520+00:00,422559118,1539974246.1520,N/A,N/A,468,29.250,False,7963,31.105,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:37:32.1720+00:00,422565138,1539974252.1720,N/A,N/A,468,29.250,False,8014,31.305,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:37:38.1920+00:00,422571158,1539974258.1920,N/A,N/A,469,29.312,False,8067,31.512,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:37:44.2130+00:00,422577179,1539974264.2130,N/A,N/A,473,29.562,False,8105,31.660,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:37:50.2350+00:00,422583201,1539974270.2350,N/A,N/A,477,29.812,False,8120,31.719,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:37:56.2550+00:00,422589221,1539974276.2550,-15784117,2128155,480,30.000,False,8139,31.793,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:02.2740+00:00,422595240,1539974282.2740,-15784120,2128153,484,30.250,False,8137,31.785,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:08.2950+00:00,422601261,1539974288.2950,-15784120,2128152,494,30.875,False,8068,31.516,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:14.3150+00:00,422607281,1539974294.3150,-15784117,2128151,486,30.375,False,7766,30.336,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:20.3350+00:00,422613301,1539974300.3350,-15784113,2128153,482,30.125,False,7475,29.199,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:26.3550+00:00,422619321,1539974306.3550,-15784110,2128154,479,29.938,False,7293,28.488,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:32.3750+00:00,422625341,1539974312.3750,-15784113,2128153,475,29.688,False,7182,28.055,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:38.3960+00:00,422631362,1539974318.3960,-15784114,2128152,472,29.500,False,7098,27.727,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:44.4170+00:00,422637383,1539974324.4170,-15784115,2128151,468,29.250,False,7038,27.492,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:50.4370+00:00,422643403,1539974330.4370,-15784115,2128150,464,29.000,False,6993,27.316,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:38:56.4570+00:00,422649423,1539974336.4570,-15784116,2128150,462,28.875,True,6971,27.230,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:02.4770+00:00,422655443,1539974342.4770,-15784116,2128150,459,28.688,False,6959,27.184,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:08.4960+00:00,422661462,1539974348.4960,-15784116,2128150,456,28.500,False,6934,27.086,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:14.5170+00:00,422667483,1539974354.5170,-15784116,2128150,454,28.375,False,6925,27.051,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:20.5380+00:00,422673504,1539974360.5380,-15784116,2128150,452,28.250,False,6910,26.992,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:26.5590+00:00,422679525,1539974366.5590,-15784116,2128150,451,28.188,False,6917,27.020,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:32.5780+00:00,422685544,1539974372.5780,-15784116,2128150,449,28.062,False,6921,27.035,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:38.5970+00:00,422691563,1539974378.5970,-15784116,2128150,448,28.000,False,6936,27.094,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:44.6180+00:00,422697584,1539974384.6180,-15784116,2128150,447,27.938,False,6944,27.125,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:50.6380+00:00,422703604,1539974390.6380,-15784116,2128150,446,27.875,False,6948,27.141,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:39:56.6590+00:00,422709625,1539974396.6590,-15784116,2128150,446,27.875,False,6940,27.109,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:02.6780+00:00,422715644,1539974402.6780,-15784116,2128150,445,27.812,False,6953,27.160,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:08.6970+00:00,422721663,1539974408.6970,-15784116,2128150,445,27.812,False,6952,27.156,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:14.7180+00:00,422727684,1539974414.7180,-15784116,2128150,445,27.812,False,6959,27.184,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:20.7370+00:00,422733703,1539974420.7370,-15784116,2128150,444,27.750,False,6955,27.168,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:26.7570+00:00,422739723,1539974426.7570,-15784116,2128150,444,27.750,False,6956,27.172,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:32.7770+00:00,422745743,1539974432.7770,-15784116,2128150,444,27.750,False,6954,27.164,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:38.7970+00:00,422751763,1539974438.7970,-15784116,2128150,443,27.688,False,6953,27.160,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:44.8180+00:00,422757784,1539974444.8180,-15784116,2128150,443,27.688,False,6952,27.156,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:50.8370+00:00,422763803,1539974450.8370,-15784116,2128150,443,27.688,False,6956,27.172,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:40:56.8580+00:00,422769824,1539974456.8580,-15784116,2128150,443,27.688,False,6952,27.156,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:02.8780+00:00,422775844,1539974462.8780,-15784116,2128150,443,27.688,False,6949,27.145,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:08.8970+00:00,422781863,1539974468.8970,-15784116,2128150,442,27.625,False,6962,27.195,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:14.9160+00:00,422787882,1539974474.9160,-15784116,2128150,442,27.625,False,6956,27.172,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:20.9350+00:00,422793901,1539974480.9350,-15784116,2128150,442,27.625,False,6953,27.160,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:26.9550+00:00,422799921,1539974486.9550,-15784116,2128150,442,27.625,False,6950,27.148,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:32.9760+00:00,422805942,1539974492.9760,-15784116,2128150,442,27.625,False,6949,27.145,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:38.9960+00:00,422811962,1539974498.9960,-15784116,2128150,442,27.625,False,6951,27.152,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:45.0160+00:00,422817982,1539974505.0160,-15784116,2128150,442,27.625,False,6944,27.125,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:51.0370+00:00,422824003,1539974511.0370,-15784116,2128150,442,27.625,False,6945,27.129,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:41:57.0560+00:00,422830022,1539974517.0560,-15784116,2128150,442,27.625,False,6949,27.145,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:03.0760+00:00,422836042,1539974523.0760,-15784116,2128150,442,27.625,False,6948,27.141,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:09.0960+00:00,422842062,1539974529.0960,-15784116,2128150,442,27.625,False,6946,27.133,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:15.1160+00:00,422848082,1539974535.1160,-15784116,2128150,442,27.625,False,6944,27.125,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:21.1350+00:00,422854101,1539974541.1350,-15784116,2128150,441,27.562,False,6945,27.129,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:27.1550+00:00,422860121,1539974547.1550,-15784116,2128150,441,27.562,False,6945,27.129,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:33.1760+00:00,422866142,1539974553.1760,-15784116,2128150,441,27.562,False,6941,27.113,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:39.1960+00:00,422872162,1539974559.1960,-15784116,2128150,441,27.562,False,6941,27.113,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:45.2160+00:00,422878182,1539974565.2160,-15784116,2128150,441,27.562,False,6932,27.078,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:51.2360+00:00,422884202,1539974571.2360,-15784116,2128150,441,27.562,False,6944,27.125,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:42:57.2560+00:00,422890222,1539974577.2560,-15784116,2128150,441,27.562,True,6938,27.102,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:03.2780+00:00,422896244,1539974583.2780,-15784116,2128150,441,27.562,True,6941,27.113,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:09.2980+00:00,422902264,1539974589.2980,-15784116,2128150,441,27.562,True,6929,27.066,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:15.3170+00:00,422908283,1539974595.3170,-15784116,2128150,441,27.562,True,6929,27.066,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:21.3370+00:00,422914303,1539974601.3370,-15784116,2128150,441,27.562,True,6944,27.125,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:27.3580+00:00,422920324,1539974607.3580,-15784116,2128150,441,27.562,True,6930,27.070,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:33.3780+00:00,422926344,1539974613.3780,-15784116,2128150,440,27.500,True,6925,27.051,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:39.3980+00:00,422932364,1539974619.3980,-15784116,2128150,440,27.500,True,6927,27.059,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:45.4180+00:00,422938384,1539974625.4180,-15784116,2128150,440,27.500,True,6923,27.043,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:51.4370+00:00,422944403,1539974631.4370,-15784116,2128150,440,27.500,False,6912,27.000,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:43:57.4580+00:00,422950424,1539974637.4580,-15784116,2128150,440,27.500,False,6913,27.004,False,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:03.4790+00:00,422956445,1539974643.4790,-15784116,2128150,440,27.500,True,6915,27.012,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:09.4990+00:00,422962465,1539974649.4990,-15784116,2128150,440,27.500,True,6915,27.012,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:15.5190+00:00,422968485,1539974655.5190,-15784116,2128150,439,27.438,True,6917,27.020,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:21.5380+00:00,422974504,1539974661.5380,-15784116,2128150,440,27.500,True,6916,27.016,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:27.5570+00:00,422980523,1539974667.5570,-15784116,2128150,439,27.438,True,6920,27.031,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:33.5770+00:00,422986543,1539974673.5770,-15784438,2128026,439,27.438,True,6915,27.012,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:39.5980+00:00,422992564,1539974679.5980,-15784437,2128029,439,27.438,True,6913,27.004,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:45.6180+00:00,422998584,1539974685.6180,-15784435,2128029,439,27.438,True,6918,27.023,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:51.6370+00:00,423004603,1539974691.6370,-15784436,2128028,439,27.438,True,6917,27.020,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:44:57.6570+00:00,423010623,1539974697.6570,-15784437,2128028,439,27.438,True,6927,27.059,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:45:03.6780+00:00,423016644,1539974703.6780,-15784437,2128028,439,27.438,True,6919,27.027,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:45:09.6990+00:00,423022665,1539974709.6990,-15784437,2128028,439,27.438,True,6918,27.023,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:45:15.7190+00:00,423028685,1539974715.7190,-15784437,2128028,439,27.438,True,6919,27.027,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:45:21.7380+00:00,423034704,1539974721.7380,-15784437,2128028,439,27.438,True,6913,27.004,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:45:27.7570+00:00,423040723,1539974727.7570,-15784437,2128028,439,27.438,True,6917,27.020,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:45:33.7760+00:00,423046742,1539974733.7760,-15784437,2128028,439,27.438,True,6920,27.031,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:45:39.7960+00:00,423052762,1539974739.7960,-15784437,2128028,439,27.438,True,6919,27.027,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
2018-10-19T18:45:45.8150+00:00,423058781,1539974745.8150,-15784437,2128028,439,27.438,True,6926,27.055,True,N/A,N/A,N/A,N/A,N/A,N/A,facebook_1103136599837253_000666DD991C_181019183705,15571.0,DD991C
