utc_x,sample_time_x,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session_x,session_id,fin_id_x,utc_y,sample_time_y,a,g,m,session_y,fin_id_y,a2,temp_calibrated_diff,delta_temp_diff,coord,wet,temp_2_calibrated_passed,temp_calibrated_diff_passed,delta_temp_diff_passed,a2_passed
2017-06-02T00:58:24.2980+00:00,161380,1496365104.2979,-117.25333,32.86672,335,20.938000000000002,False,4980,19.621,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:58:24.3670+00:00,161449,"[98, -46, 176]","[145, 53, 31]","[-6, 96, -150]",google_101440910315486450418_0006667E229D_170602005601,7E229D,-46.0,-1.3170000000000037,-0.01600000000000179,POINT (-117.25333 32.86672),False,True,False,False,False
2017-06-02T00:58:30.3620+00:00,167400,1496365110.3617,-117.25336,32.86669,335,20.938000000000002,False,4963,19.555,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:58:30.3740+00:00,167412,"[-3, 121, 440]","[-164, -35, -96]","[17, 121, -147]",google_101440910315486450418_0006667E229D_170602005601,7E229D,121.0,-1.3830000000000027,-0.06599999999999895,POINT (-117.25336 32.86669),False,True,False,False,False
2017-06-02T00:58:36.4270+00:00,173421,1496365116.4266,-117.25342,32.86666,335,20.938000000000002,False,4978,19.614,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:58:36.3540+00:00,173349,"[81, 116, 473]","[-14, -20, 15]","[-112, 124, -136]",google_101440910315486450418_0006667E229D_170602005601,7E229D,116.0,-1.3240000000000016,0.05900000000000105,POINT (-117.25342 32.86666),False,True,False,False,False
2017-06-02T00:58:42.4900+00:00,179441,1496365122.4905,-117.25354,32.86667,335,20.938000000000002,False,4985,19.641,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:58:42.5990+00:00,179549,"[164, 47, 739]","[-34, 67, -40]","[-114, 96, -138]",google_101440910315486450418_0006667E229D_170602005601,7E229D,47.0,-1.2970000000000041,0.02699999999999747,POINT (-117.25354 32.86667),False,True,False,False,False
2017-06-02T00:58:48.5540+00:00,185461,1496365128.5544,-117.25369,32.86674,335,20.938000000000002,False,4999,19.695999999999998,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:58:48.5420+00:00,185449,"[138, -26, 626]","[94, 49, 70]","[5, 137, -139]",google_101440910315486450418_0006667E229D_170602005601,7E229D,-26.0,-1.2420000000000044,0.054999999999999716,POINT (-117.25369 32.86674),False,True,False,False,False
2017-06-02T00:58:54.6180+00:00,191481,1496365134.6182,-117.25371,32.86681,335,20.938000000000002,False,5003,19.712,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:58:54.6870+00:00,191549,"[35, -11, 328]","[31, 59, 186]","[-22, 132, -148]",google_101440910315486450418_0006667E229D_170602005601,7E229D,-11.0,-1.2260000000000026,0.01600000000000179,POINT (-117.25371 32.86681),False,True,False,False,False
2017-06-02T00:59:00.6820+00:00,197501,1496365140.6821,-117.25375,32.86678,335,20.938000000000002,False,5025,19.798,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:59:00.7810+00:00,197599,"[264, 20, 770]","[178, 0, -94]","[65, 43, -133]",google_101440910315486450418_0006667E229D_170602005601,7E229D,20.0,-1.1400000000000041,0.08599999999999852,POINT (-117.25375 32.86678),False,True,False,False,False
2017-06-02T00:59:06.7470+00:00,203522,1496365146.747,-117.25377,32.86672,335,20.938000000000002,False,5044,19.872,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:59:06.7740+00:00,203549,"[188, 18, 814]","[116, 149, -72]","[41, 71, -153]",google_101440910315486450418_0006667E229D_170602005601,7E229D,18.0,-1.0660000000000025,0.07400000000000162,POINT (-117.25377 32.86672),False,True,False,False,False
2017-06-02T00:59:12.8110+00:00,209542,1496365152.8109,-117.25379,32.86666,335,20.938000000000002,False,5069,19.97,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:59:12.7680+00:00,209499,"[108, 35, 401]","[121, 47, 68]","[73, 17, -141]",google_101440910315486450418_0006667E229D_170602005601,7E229D,35.0,-0.9680000000000035,0.09799999999999898,POINT (-117.25379 32.86666),False,True,False,False,False
2017-06-02T00:59:18.8760+00:00,215563,1496365158.8758,-117.25382,32.86659,336,21.0,False,5077,20.002,False,,,,,,,google_101440910315486450418_0006667E229D_170602005601,11056.0,7E229D,2017-06-02T00:59:18.7610+00:00,215449,"[-8, -19, 302]","[144, -61, 70]","[60, 48, -140]",google_101440910315486450418_0006667E229D_170602005601,7E229D,-19.0,-0.9980000000000011,-0.029999999999997584,POINT (-117.25382 32.86659),False,True,False,False,False
