utc,sample_time,a,g,m,epoch,session,fin_id
2017-06-02T00:56:11.3480+00:00,29392,"[41, 139, 742]","[-259, -44, 71]","[22, -8, -36]",1496364971.3479,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:11.6060+00:00,29648,"[198, 224, 1161]","[384, 28, 102]","[81, -39, -131]",1496364971.6058,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:11.8080+00:00,29849,"[-74, 96, 23]","[-238, -64, -27]","[78, -38, -142]",1496364971.8082,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:12.0600+00:00,30099,"[331, 187, 1058]","[-201, 51, 72]","[79, -37, -141]",1496364972.0600,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:12.2620+00:00,30299,"[67, 46, -36]","[297, 122, 82]","[71, -35, -137]",1496364972.2615,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:12.5120+00:00,30548,"[3, 77, 348]","[-322, -26, -50]","[87, -31, -137]",1496364972.5123,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:12.7640+00:00,30798,"[217, 75, 1246]","[138, -18, 27]","[66, -26, -140]",1496364972.7641,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:12.9670+00:00,30999,"[19, -92, -215]","[43, -55, 53]","[64, -18, -136]",1496364972.9666,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:13.2170+00:00,31248,"[27, 112, 469]","[-152, -11, 83]","[59, -29, -141]",1496364973.2174,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:13.4700+00:00,31499,"[162, 162, 1041]","[318, 23, 74]","[52, -22, -140]",1496364973.4702,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:13.6720+00:00,31699,"[-17, 76, 155]","[-71, 40, 43]","[55, -39, -143]",1496364973.6717,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:13.9240+00:00,31949,"[65, 72, 691]","[-132, 112, 3]","[59, -39, -131]",1496364973.9235,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:14.1240+00:00,32148,"[9, -24, 95]","[-30, 42, -17]","[69, -27, -139]",1496364974.1240,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:14.3770+00:00,32399,"[103, -86, -63]","[-65, -33, -5]","[64, -52, -130]",1496364974.3768,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:14.6290+00:00,32649,"[80, 112, 601]","[-347, -64, -34]","[67, -51, -129]",1496364974.6286,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:14.8800+00:00,32899,"[187, 96, 1171]","[478, 18, 7]","[61, -37, -135]",1496364974.8805,google_101440910315486450418_0006667E229D_170602005601,7E229D
2017-06-02T00:56:15.0810+00:00,33098,"[-18, -3, 20]","[23, -51, -21]","[54, -36, -134]",1496364975.0809,google_101440910315486450418_0006667E229D_170602005601,7E229D
