utc_x,sample_time_x,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session_x,session_id,fin_id_x,utc_y,sample_time_y,a,g,m,session_y,fin_id_y,a2,temp_calibrated_diff,delta_temp_diff,coord,wet,temp_2_calibrated_passed,temp_calibrated_diff_passed,delta_temp_diff_passed,a2_passed
2017-10-08T14:56:25.8620+00:00,2260716701,1507474585.8616,-117.27334,32.81497,356,22.25,False,5201,20.509,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:56:25.9060+00:00,2260716745,"[-56, 507, 55]","[26, 2, 11]","[110, -356, 158]",google_101440910315486450418_000666D32270_171008145522,D32270,507.0,-1.7409999999999997,0.004000000000001336,POINT (-117.27334 32.81497),False,True,False,True,True
2017-10-08T14:56:31.8940+00:00,2260722721,1507474591.8938,-117.27333,32.81495,355,22.188000000000002,False,5194,20.480999999999998,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:56:31.9680+00:00,2260722795,"[-59, 525, 55]","[-20, -4, 11]","[103, -359, 159]",google_101440910315486450418_000666D32270_171008145522,D32270,525.0,-1.7070000000000043,0.03399999999999537,POINT (-117.27333 32.81495),False,True,False,False,True
2017-10-08T14:56:37.9250+00:00,2260728740,1507474597.9251,-117.27333,32.81498,355,22.188000000000002,False,5201,20.509,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:56:37.9790+00:00,2260728794,"[-59, 512, 55]","[36, 3, 12]","[109, -359, 151]",google_101440910315486450418_000666D32270_171008145522,D32270,512.0,-1.679000000000002,0.028000000000002245,POINT (-117.27333 32.81498),False,True,False,False,True
2017-10-08T14:56:43.9580+00:00,2260734761,1507474603.9584,-117.27334,32.81498,355,22.188000000000002,False,5186,20.45,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:56:43.9920+00:00,2260734795,"[-57, 500, 56]","[18, 1, 10]","[105, -357, 153]",google_101440910315486450418_000666D32270_171008145522,D32270,500.0,-1.738000000000003,-0.05900000000000105,POINT (-117.27334 32.81498),False,True,False,False,True
2017-10-08T14:56:49.9910+00:00,2260740781,1507474609.9906,-117.27334,32.81498,355,22.188000000000002,False,5188,20.458,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:56:49.9550+00:00,2260740745,"[-54, 471, 61]","[20, 1, 11]","[107, -361, 143]",google_101440910315486450418_000666D32270_171008145522,D32270,471.0,-1.730000000000004,0.007999999999999119,POINT (-117.27334 32.81498),False,True,False,False,True
2017-10-08T14:56:56.0240+00:00,2260746802,1507474616.0239,-117.27335,32.81499,354,22.125,False,5183,20.438,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:56:55.9680+00:00,2260746746,"[-55, 481, 61]","[60, 5, 9]","[111, -353, 159]",google_101440910315486450418_000666D32270_171008145522,D32270,481.0,-1.6870000000000012,0.043000000000002814,POINT (-117.27335 32.81499),False,True,False,False,True
2017-10-08T14:57:02.0560+00:00,2260752822,1507474622.0561,-117.27337,32.81501,354,22.125,False,5182,20.434,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:01.9790+00:00,2260752745,"[-59, 536, 50]","[-2, -1, 10]","[109, -361, 145]",google_101440910315486450418_000666D32270_171008145522,D32270,536.0,-1.690999999999999,-0.003999999999997783,POINT (-117.27337 32.81501),False,True,False,True,True
2017-10-08T14:57:08.0870+00:00,2260758841,1507474628.0874,-117.27337,32.81501,354,22.125,False,5174,20.403,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:07.9930+00:00,2260758747,"[-54, 486, 61]","[3, 0, 8]","[99, -369, 155]",google_101440910315486450418_000666D32270_171008145522,D32270,486.0,-1.7220000000000013,-0.03100000000000236,POINT (-117.27337 32.81501),False,True,False,False,True
2017-10-08T14:57:14.1190+00:00,2260764860,1507474634.1186,-117.27337,32.81501,354,22.125,False,5178,20.418,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:14.2030+00:00,2260764944,"[-56, 502, 59]","[22, 1, 13]","[106, -366, 148]",google_101440910315486450418_000666D32270_171008145522,D32270,502.0,-1.7070000000000007,0.015000000000000568,POINT (-117.27337 32.81501),False,True,False,False,True
2017-10-08T14:57:20.1510+00:00,2260770880,1507474640.1509,-117.27337,32.81501,353,22.061999999999998,False,5177,20.414,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:20.2150+00:00,2260770944,"[-54, 479, 62]","[-38, -4, 10]","[100, -364, 158]",google_101440910315486450418_000666D32270_171008145522,D32270,479.0,-1.6479999999999961,0.059000000000004604,POINT (-117.27337 32.81501),False,True,False,False,True
2017-10-08T14:57:26.1830+00:00,2260776900,1507474646.1832,-117.27337,32.81501,354,22.125,False,5176,20.410999999999998,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:26.1250+00:00,2260776842,"[-58, 509, 55]","[26, 2, 9]","[107, -367, 159]",google_101440910315486450418_000666D32270_171008145522,D32270,509.0,-1.7140000000000022,-0.06600000000000605,POINT (-117.27337 32.81501),False,True,False,False,True
2017-10-08T14:57:32.2150+00:00,2260782920,1507474652.2154,-117.27337,32.81501,353,22.061999999999998,False,5173,20.399,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:32.1400+00:00,2260782845,"[-58, 511, 54]","[-4, -2, 11]","[109, -369, 151]",google_101440910315486450418_000666D32270_171008145522,D32270,511.0,-1.6629999999999967,0.051000000000005485,POINT (-117.27337 32.81501),False,True,False,False,True
2017-10-08T14:57:38.2480+00:00,2260788940,1507474658.2477,-117.27337,32.81501,353,22.061999999999998,False,5171,20.391,True,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:38.1500+00:00,2260788843,"[-56, 499, 58]","[22, 1, 12]","[105, -367, 155]",google_101440910315486450418_000666D32270_171008145522,D32270,499.0,-1.6709999999999994,-0.008000000000002672,POINT (-117.27337 32.81501),False,True,False,False,True
2017-10-08T14:57:44.2810+00:00,2260794961,1507474664.2809,-117.27337,32.81501,353,22.061999999999998,False,5172,20.395,True,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:44.2130+00:00,2260794893,"[-56, 491, 61]","[-7, -1, 12]","[109, -365, 147]",google_101440910315486450418_000666D32270_171008145522,D32270,491.0,-1.666999999999998,0.004000000000001336,POINT (-117.27337 32.81501),False,True,False,True,True
2017-10-08T14:57:50.3120+00:00,2260800980,1507474670.3122,-117.27337,32.81501,353,22.061999999999998,False,5175,20.407,True,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:50.2250+00:00,2260800893,"[-57, 508, 59]","[28, 2, 12]","[96, -358, 156]",google_101440910315486450418_000666D32270_171008145522,D32270,508.0,-1.6549999999999976,0.012000000000000455,POINT (-117.27337 32.81501),False,True,False,False,True
2017-10-08T14:57:56.3430+00:00,2260806999,1507474676.3434,-117.27337,32.81501,353,22.061999999999998,False,5177,20.414,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:57:56.4380+00:00,2260807093,"[-57, 511, 59]","[40, 3, 11]","[99, -371, 149]",google_101440910315486450418_000666D32270_171008145522,D32270,511.0,-1.6479999999999961,0.0070000000000014495,POINT (-117.27337 32.81501),False,True,False,False,True
2017-10-08T14:58:02.3760+00:00,2260813019,1507474682.3757,-117.27337,32.81501,353,22.061999999999998,False,5177,20.414,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:58:02.4500+00:00,2260813093,"[-56, 497, 59]","[9, 0, 11]","[112, -364, 140]",google_101440910315486450418_000666D32270_171008145522,D32270,497.0,-1.6479999999999961,0.0,POINT (-117.27337 32.81501),False,True,False,True,True
2017-10-08T14:58:08.4080+00:00,2260819039,1507474688.408,-117.27337,32.81501,353,22.061999999999998,False,5178,20.418,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:58:08.4620+00:00,2260819093,"[-53, 470, 63]","[12, 0, 11]","[103, -365, 143]",google_101440910315486450418_000666D32270_171008145522,D32270,470.0,-1.6439999999999984,0.003999999999997783,POINT (-117.27337 32.81501),False,True,False,True,True
2017-10-08T14:58:14.4400+00:00,2260825059,1507474694.4402,-117.27337,32.81501,353,22.061999999999998,False,5164,20.363,False,,,,,,,google_101440910315486450418_000666D32270_171008145522,12011.0,D32270,2017-10-08T14:58:14.4740+00:00,2260825093,"[-56, 498, 59]","[21, 1, 11]","[106, -368, 142]",google_101440910315486450418_000666D32270_171008145522,D32270,498.0,-1.698999999999998,-0.054999999999999716,POINT (-117.27337 32.81501),False,True,False,False,True
