utc,sample_time,a,g,m,epoch,session,fin_id
2018-03-17T17:55:22.0920+00:00,2081528904,"[28, -507, -99]","[14, -6, -6]","[262, 448, -184]",1521309322.0919,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:22.3430+00:00,2081529154,"[28, -506, -99]","[13, -4, -7]","[258, 450, -186]",1521309322.3432,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:22.5960+00:00,2081529405,"[28, -507, -100]","[14, -5, -7]","[263, 443, -185]",1521309322.5956,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:22.8470+00:00,2081529655,"[28, -506, -99]","[13, -4, -7]","[262, 448, -190]",1521309322.8469,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:23.0980+00:00,2081529905,"[28, -506, -100]","[13, -3, -7]","[259, 451, -195]",1521309323.0983,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:23.3500+00:00,2081530155,"[28, -506, -100]","[14, -4, -7]","[255, 445, -185]",1521309323.3497,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:23.6030+00:00,2081530407,"[28, -506, -100]","[13, -4, -7]","[263, 449, -183]",1521309323.6030,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:23.8530+00:00,2081530656,"[28, -506, -100]","[13, -6, -6]","[265, 447, -183]",1521309323.8534,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:24.1060+00:00,2081530907,"[28, -506, -99]","[13, -4, -6]","[258, 440, -188]",1521309324.1057,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:24.3570+00:00,2081531157,"[27, -506, -101]","[13, -5, -6]","[262, 440, -184]",1521309324.3571,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:24.6090+00:00,2081531408,"[28, -506, -98]","[13, -4, -6]","[267, 451, -185]",1521309324.6095,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:24.8600+00:00,2081531657,"[29, -506, -99]","[13, -4, -7]","[259, 439, -189]",1521309324.8598,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:25.1120+00:00,2081531908,"[28, -506, -99]","[13, -5, -6]","[264, 444, -190]",1521309325.1122,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:25.3640+00:00,2081532158,"[28, -506, -100]","[13, -4, -7]","[259, 447, -181]",1521309325.3635,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:25.6160+00:00,2081532409,"[27, -508, -99]","[13, -4, -6]","[261, 445, -187]",1521309325.6159,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:25.8670+00:00,2081532659,"[28, -506, -99]","[13, -5, -6]","[259, 445, -187]",1521309325.8673,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:26.1190+00:00,2081532909,"[27, -506, -101]","[12, -5, -7]","[266, 448, -192]",1521309326.1186,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:26.3700+00:00,2081533159,"[27, -507, -100]","[12, -5, -8]","[268, 446, -186]",1521309326.3700,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:26.6170+00:00,2081533405,"[28, -507, -99]","[13, -4, -7]","[258, 444, -182]",1521309326.6173,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:26.8690+00:00,2081533655,"[27, -507, -100]","[13, -6, -7]","[265, 441, -175]",1521309326.8687,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:27.1210+00:00,2081533906,"[28, -506, -99]","[13, -4, -7]","[267, 443, -181]",1521309327.1210,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:27.3730+00:00,2081534157,"[27, -506, -101]","[13, -5, -7]","[256, 444, -182]",1521309327.3734,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:27.6360+00:00,2081534418,"[28, -505, -99]","[13, -4, -6]","[268, 442, -192]",1521309327.6358,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:27.8780+00:00,2081534659,"[28, -506, -100]","[13, -5, -6]","[263, 449, -185]",1521309327.8781,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:28.1290+00:00,2081534909,"[28, -507, -101]","[13, -5, -6]","[265, 439, -187]",1521309328.1295,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:28.3810+00:00,2081535159,"[28, -506, -98]","[13, -5, -7]","[260, 446, -188]",1521309328.3808,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:28.6330+00:00,2081535410,"[28, -507, -99]","[13, -4, -6]","[260, 442, -182]",1521309328.6332,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:28.8850+00:00,2081535660,"[28, -507, -99]","[12, -5, -7]","[257, 445, -185]",1521309328.8846,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:29.1370+00:00,2081535911,"[28, -506, -100]","[12, -5, -7]","[264, 440, -190]",1521309329.1369,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:29.3890+00:00,2081536162,"[28, -506, -99]","[13, -4, -7]","[269, 445, -189]",1521309329.3893,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:29.6420+00:00,2081536413,"[28, -506, -99]","[13, -4, -7]","[263, 443, -189]",1521309329.6416,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:29.8930+00:00,2081536663,"[27, -507, -100]","[13, -4, -7]","[259, 443, -195]",1521309329.8930,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:30.1450+00:00,2081536914,"[29, -506, -100]","[13, -5, -7]","[252, 442, -192]",1521309330.1454,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:30.3960+00:00,2081537163,"[27, -506, -100]","[13, -4, -7]","[267, 447, -187]",1521309330.3957,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:30.6390+00:00,2081537405,"[29, -506, -99]","[13, -4, -7]","[263, 455, -185]",1521309330.6390,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:30.8900+00:00,2081537655,"[28, -506, -101]","[13, -5, -7]","[268, 446, -188]",1521309330.8904,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:31.1430+00:00,2081537906,"[28, -506, -98]","[14, -4, -7]","[260, 458, -182]",1521309331.1428,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
2018-03-17T17:55:31.3940+00:00,2081538156,"[27, -506, -100]","[13, -5, -7]","[259, 443, -181]",1521309331.3941,google_101440910315486450418_000666D6B7E1_180317175512,D6B7E1
