utc,sample_time,a,g,m,epoch,session,fin_id
2018-09-09T15:03:03.0900+00:00,54294526,"[-108, 498, 47]","[-1, 0, 4]","[363, -77, 381]",1536505383.0900,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:03.3400+00:00,54294776,"[-108, 497, 52]","[-2, 1, 4]","[358, -74, 380]",1536505383.3400,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:03.5910+00:00,54295027,"[-108, 498, 51]","[-2, 2, 3]","[352, -70, 380]",1536505383.5910,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:03.8410+00:00,54295277,"[-108, 498, 51]","[-1, 1, 3]","[352, -70, 366]",1536505383.8410,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:04.0920+00:00,54295528,"[-109, 497, 51]","[-1, 2, 4]","[362, -72, 386]",1536505384.0920,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:04.3430+00:00,54295779,"[-110, 498, 51]","[-2, 1, 4]","[355, -77, 381]",1536505384.3430,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:04.5930+00:00,54296029,"[-109, 497, 50]","[-2, 1, 4]","[355, -79, 377]",1536505384.5930,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:04.8430+00:00,54296279,"[-108, 498, 51]","[-2, 1, 4]","[350, -64, 376]",1536505384.8430,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:05.0940+00:00,54296530,"[-109, 499, 51]","[-2, 1, 4]","[361, -69, 379]",1536505385.0940,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:05.3440+00:00,54296780,"[-108, 498, 52]","[-1, 2, 3]","[354, -72, 384]",1536505385.3440,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:05.5960+00:00,54297032,"[-109, 498, 51]","[-1, 1, 4]","[351, -77, 381]",1536505385.5960,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:05.8450+00:00,54297281,"[-108, 497, 51]","[-1, 2, 4]","[356, -74, 378]",1536505385.8450,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:06.0960+00:00,54297532,"[-109, 498, 52]","[-2, 1, 4]","[356, -72, 378]",1536505386.0960,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:06.3470+00:00,54297783,"[-109, 498, 52]","[-1, 0, 4]","[353, -77, 381]",1536505386.3470,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:06.5980+00:00,54298034,"[-109, 498, 51]","[-1, 1, 3]","[359, -69, 377]",1536505386.5980,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:06.8470+00:00,54298283,"[-109, 498, 51]","[-2, 1, 4]","[354, -76, 382]",1536505386.8470,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:07.0980+00:00,54298534,"[-108, 498, 53]","[-1, 1, 4]","[361, -75, 373]",1536505387.0980,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:07.3480+00:00,54298784,"[-108, 499, 52]","[-2, 1, 4]","[348, -74, 386]",1536505387.3480,google_101440910315486450418_000666DD992E_180909150254,DD992E
2018-09-09T15:03:07.5900+00:00,54299026,"[-109, 497, 52]","[-2, 1, 4]","[352, -72, 370]",1536505387.5900,google_101440910315486450418_000666DD992E_180909150254,DD992E
