utc_x,sample_time_x,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session_x,session_id,fin_id_x,utc_y,sample_time_y,a,g,m,session_y,fin_id_y,a2,temp_calibrated_diff,delta_temp_diff,coord,wet,temp_2_calibrated_passed,temp_calibrated_diff_passed,delta_temp_diff_passed,a2_passed
2017-08-27T06:39:36.7490+00:00,107258,1503815976.7493,-4.11919,50.33639,313,19.562,False,4356,17.177,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:39:36.6990+00:00,107208,"[-139, -257, -946]","[-442, -229, -258]","[-190, 102, 468]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-257.0,-2.3850000000000016,-0.08600000000000207,POINT (-4.11919 50.33639),False,True,False,False,False
2017-08-27T06:39:42.8100+00:00,113278,1503815982.81,-4.11905,50.33621,311,19.438,False,4318,17.027,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:39:42.8890+00:00,113357,"[-262, -111, -808]","[309, 315, 269]","[-167, 251, 417]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-111.0,-2.410999999999998,-0.02599999999999625,POINT (-4.11905 50.33621),False,True,False,False,False
2017-08-27T06:39:48.8700+00:00,119297,1503815988.8697,-4.11909,50.33607,309,19.312,False,4272,16.847,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:39:48.7800+00:00,119208,"[-327, -305, -1150]","[-257, -20, -98]","[-205, 113, 465]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-305.0,-2.465,-0.054000000000002046,POINT (-4.11909 50.33607),False,True,False,False,False
2017-08-27T06:39:54.9310+00:00,125318,1503815994.9314,-4.11911,50.33602,309,19.312,False,4265,16.819000000000003,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:39:55.0210+00:00,125407,"[-179, -92, -842]","[-321, -185, 21]","[-179, 107, 479]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-92.0,-2.4929999999999986,-0.027999999999998693,POINT (-4.11911 50.33602),False,True,False,False,False
2017-08-27T06:40:00.9930+00:00,131339,1503816000.9931,-4.11904,50.33592,309,19.312,False,4249,16.756,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:01.0630+00:00,131408,"[72, -91, 127]","[-345, 82, -123]","[-186, 82, 480]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-91.0,-2.556000000000001,-0.06300000000000239,POINT (-4.11904 50.33592),False,True,False,False,False
2017-08-27T06:40:07.0540+00:00,137359,1503816007.0538,-4.11894,50.33574,307,19.188,False,4204,16.579,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:07.1030+00:00,137408,"[-228, -52, -1009]","[-354, -53, 168]","[-170, 234, 426]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-52.0,-2.608999999999998,-0.05299999999999727,POINT (-4.11894 50.33574),False,True,False,False,False
2017-08-27T06:40:13.1150+00:00,143379,1503816013.1145,-4.11893,50.33565,305,19.062,False,4179,16.480999999999998,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:13.0420+00:00,143307,"[347, -94, -538]","[78, 18, 37]","[-251, 35, 437]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-94.0,-2.581000000000003,0.02799999999999514,POINT (-4.11893 50.33565),False,True,False,False,False
2017-08-27T06:40:19.1760+00:00,149400,1503816019.1762,-4.11906,50.33562,304,19.0,False,4156,16.391,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:19.2850+00:00,149508,"[123, -143, -215]","[-66, 51, 7]","[-284, 44, 418]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-143.0,-2.6090000000000018,-0.027999999999998693,POINT (-4.11906 50.33562),False,True,False,False,False
2017-08-27T06:40:25.2360+00:00,155419,1503816025.2359,-4.11916,50.33557,302,18.875,False,4118,16.242,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:25.2750+00:00,155458,"[726, -171, -620]","[91, -11, 109]","[-241, 117, 451]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-171.0,-2.632999999999999,-0.023999999999997357,POINT (-4.11916 50.33557),False,True,False,False,False
2017-08-27T06:40:31.2980+00:00,161440,1503816031.2976,-4.11925,50.33552,301,18.812,False,4068,16.045,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:31.2150+00:00,161358,"[319, -125, -459]","[128, 94, 46]","[-210, 168, 446]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-125.0,-2.7669999999999995,-0.13400000000000034,POINT (-4.11925 50.33552),True,True,False,False,False
2017-08-27T06:40:37.3580+00:00,167460,1503816037.3583,-4.11929,50.33548,299,18.688,False,4025,15.876,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:37.4060+00:00,167507,"[338, -54, -309]","[205, -119, 59]","[-233, 67, 453]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-54.0,-2.8119999999999994,-0.04499999999999993,POINT (-4.11929 50.33548),True,True,False,False,False
2017-08-27T06:40:43.4180+00:00,173479,1503816043.418,-4.11938,50.33535,298,18.625,False,3998,15.77,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:43.4470+00:00,173508,"[240, -117, -380]","[-120, 117, 240]","[-217, 93, 457]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-117.0,-2.8550000000000004,-0.04300000000000104,POINT (-4.11938 50.33535),True,True,False,False,False
2017-08-27T06:40:49.4800+00:00,179500,1503816049.4798,-4.1194,50.33531,297,18.562,False,3978,15.690999999999999,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:49.5880+00:00,179608,"[283, -148, -385]","[0, -103, -265]","[-148, 152, 472]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-148.0,-2.871000000000002,-0.01600000000000179,POINT (-4.1194 50.33531),True,True,False,False,False
2017-08-27T06:40:55.5480+00:00,185527,1503816055.5475,-4.11948,50.33524,296,18.5,False,3957,15.609000000000002,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:40:55.5270+00:00,185507,"[63, -74, -632]","[1018, -203, -112]","[38, 92, 416]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-74.0,-2.8909999999999982,-0.01999999999999602,POINT (-4.11948 50.33524),False,True,False,False,False
2017-08-27T06:41:01.6080+00:00,191547,1503816061.6082,-4.11961,50.33524,295,18.438,False,3928,15.495,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:41:01.6190+00:00,191558,"[2, 28, -497]","[-31, -6, -36]","[-55, -49, 431]",google_102847823526503707395_0006667E2292_170827063808,7E2292,28.0,-2.9429999999999996,-0.05200000000000138,POINT (-4.11961 50.33524),True,True,False,False,False
2017-08-27T06:41:07.6680+00:00,197566,1503816067.6679,-4.11971,50.33529,294,18.375,False,3911,15.427999999999999,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:41:07.7610+00:00,197658,"[117, 17, -554]","[-187, -19, -443]","[-158, 186, 456]",google_102847823526503707395_0006667E2292_170827063808,7E2292,17.0,-2.947000000000001,-0.004000000000001336,POINT (-4.11971 50.33529),True,True,False,True,False
2017-08-27T06:41:13.7290+00:00,203586,1503816073.7286,-4.1197,50.33526,294,18.375,False,3908,15.415999999999999,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:41:13.7510+00:00,203608,"[68, -53, -392]","[-311, -61, 118]","[-219, 201, 431]",google_102847823526503707395_0006667E2292_170827063808,7E2292,-53.0,-2.9590000000000014,-0.012000000000000455,POINT (-4.1197 50.33526),True,True,False,False,False
2017-08-27T06:41:19.7890+00:00,209606,1503816079.7893,-4.11971,50.33524,293,18.312,False,3904,15.401,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:41:19.8410+00:00,209657,"[-59, 508, -7]","[-172, 12, -13]","[-123, -181, 295]",google_102847823526503707395_0006667E2292_170827063808,7E2292,508.0,-2.9110000000000014,0.04800000000000004,POINT (-4.11971 50.33524),True,True,False,False,True
2017-08-27T06:41:25.8510+00:00,215627,1503816085.8511,-4.11979,50.33524,289,18.062,False,3935,15.522,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:41:25.9330+00:00,215708,"[-68, 538, 6]","[-45, -33, 99]","[-147, -171, 283]",google_102847823526503707395_0006667E2292_170827063808,7E2292,538.0,-2.540000000000001,0.37100000000000044,POINT (-4.11979 50.33524),True,True,False,False,True
2017-08-27T06:41:31.9120+00:00,221647,1503816091.9118,-4.11993,50.33525,281,17.562,False,3943,15.554,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:41:31.8220+00:00,221558,"[-47, 447, 74]","[78, 41, 64]","[-149, -187, 259]",google_102847823526503707395_0006667E2292_170827063808,7E2292,447.0,-2.008000000000001,0.532,POINT (-4.11993 50.33525),True,True,False,False,True
2017-08-27T06:41:37.9720+00:00,227667,1503816097.9725,-4.12,50.33526,275,17.188,False,3950,15.581,False,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:41:37.9130+00:00,227608,"[-46, 496, -1]","[-35, 127, 52]","[-177, -185, 251]",google_102847823526503707395_0006667E2292_170827063808,7E2292,496.0,-1.6069999999999993,0.4010000000000016,POINT (-4.12 50.33526),True,True,False,False,True
2017-08-27T06:41:44.0330+00:00,233687,1503816104.0332,-4.12003,50.33524,271,16.938,False,3945,15.562000000000001,True,,,,,,,google_102847823526503707395_0006667E2292_170827063808,11656.0,7E2292,2017-08-27T06:41:44.0030+00:00,233657,"[-57, 431, 10]","[-90, -62, -53]","[-156, -190, 256]",google_102847823526503707395_0006667E2292_170827063808,7E2292,431.0,-1.3759999999999977,0.23100000000000165,POINT (-4.12003 50.33524),True,True,False,False,True
