utc_x,sample_time_x,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session_x,session_id,fin_id_x,utc_y,sample_time_y,a,g,m,session_y,fin_id_y,a2,temp_calibrated_diff,delta_temp_diff,coord,wet,temp_2_calibrated_passed,temp_calibrated_diff_passed,delta_temp_diff_passed,a2_passed
2018-02-26T13:12:03.2900+00:00,234118,1519650723.29,-4.12261,50.33698,285,17.812,False,3348,13.046,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:03.2230+00:00,234051,"[19, 53, 593]","[-20, -1, 26]","[90, -46, -344]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,53.0,-4.766000000000002,-0.49400000000000155,POINT (-4.12261 50.33698),False,True,False,False,False
2018-02-26T13:12:09.3110+00:00,240139,1519650729.311,-4.1225,50.33701,278,17.375,False,3104,12.09,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:09.2230+00:00,240051,"[-55, 60, 305]","[-191, 62, -1]","[88, -42, -342]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,60.0,-5.285,-0.5189999999999984,POINT (-4.1225 50.33701),False,True,False,False,False
2018-02-26T13:12:15.3310+00:00,246159,1519650735.331,-4.12238,50.33697,271,16.938,False,2861,11.138,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:15.2230+00:00,246051,"[-99, 47, 603]","[321, 13, 125]","[112, -58, -324]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,47.0,-5.799999999999999,-0.5149999999999988,POINT (-4.12238 50.33697),False,True,False,False,False
2018-02-26T13:12:21.3510+00:00,252179,1519650741.351,-4.12217,50.33692,263,16.438,False,2670,10.389000000000001,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:21.4750+00:00,252303,"[-67, 55, 360]","[78, 38, 40]","[101, -33, -337]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,55.0,-6.048999999999998,-0.24899999999999878,POINT (-4.12217 50.33692),False,True,False,False,False
2018-02-26T13:12:27.3700+00:00,258198,1519650747.37,-4.12207,50.3369,256,16.0,False,2496,9.708,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:27.4740+00:00,258302,"[9, 140, 592]","[-306, -68, -3]","[87, -63, -337]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,140.0,-6.292,-0.2430000000000021,POINT (-4.12207 50.3369),False,True,False,False,False
2018-02-26T13:12:33.3900+00:00,264218,1519650753.39,-4.12197,50.33688,248,15.5,False,2356,9.158999999999999,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:33.4740+00:00,264302,"[-70, 145, 478]","[-34, -50, 52]","[92, -56, -336]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,145.0,-6.341000000000001,-0.049000000000001265,POINT (-4.12197 50.33688),False,True,False,False,False
2018-02-26T13:12:39.4110+00:00,270239,1519650759.411,-4.12186,50.33685,242,15.125,False,2209,8.583,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:39.4760+00:00,270304,"[-117, 120, 625]","[357, -19, 31]","[62, -70, -336]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,120.0,-6.542,-0.20099999999999874,POINT (-4.12186 50.33685),False,True,False,False,False
2018-02-26T13:12:45.4310+00:00,276259,1519650765.431,-4.12175,50.33684,236,14.75,False,2075,8.058,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:45.4750+00:00,276303,"[-17, 164, 620]","[-44, -50, -1]","[60, -68, -332]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,164.0,-6.692,-0.15000000000000036,POINT (-4.12175 50.33684),False,True,False,False,False
2018-02-26T13:12:51.4510+00:00,282279,1519650771.451,-4.12153,50.33682,228,14.25,False,1922,7.457999999999999,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:51.4750+00:00,282303,"[148, 222, 647]","[-46, -12, -58]","[-42, -72, -318]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,222.0,-6.792000000000001,-0.10000000000000053,POINT (-4.12153 50.33682),False,True,False,False,False
2018-02-26T13:12:57.4710+00:00,288299,1519650777.471,-4.12142,50.33684,221,13.812000000000001,False,1765,6.843,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:12:57.4760+00:00,288304,"[217, 92, 688]","[143, 24, 197]","[-22, -60, -326]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,92.0,-6.969000000000001,-0.1770000000000005,POINT (-4.12142 50.33684),False,True,False,False,False
2018-02-26T13:13:03.4930+00:00,294321,1519650783.493,-4.12131,50.33684,213,13.312000000000001,False,1653,6.404,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:03.4770+00:00,294305,"[12, 98, 426]","[112, 47, 164]","[5, -51, -339]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,98.0,-6.908000000000001,0.06099999999999994,POINT (-4.12131 50.33684),False,True,False,False,False
2018-02-26T13:13:09.5140+00:00,300342,1519650789.514,-4.12119,50.33685,206,12.875,False,1574,6.095,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:09.4780+00:00,300306,"[8, 104, 291]","[50, -51, -3]","[3, -69, -331]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,104.0,-6.78,0.128000000000001,POINT (-4.12119 50.33685),False,True,False,False,False
2018-02-26T13:13:15.5340+00:00,306362,1519650795.534,-4.1211,50.33684,199,12.437999999999999,False,1501,5.809,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:15.4780+00:00,306306,"[-70, 65, 550]","[176, 38, -24]","[45, -37, -363]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,65.0,-6.628999999999999,0.15100000000000158,POINT (-4.1211 50.33684),False,True,False,False,False
2018-02-26T13:13:21.5540+00:00,312382,1519650801.554,-4.12089,50.33684,194,12.125,False,1458,5.64,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:21.4800+00:00,312308,"[-73, 153, 587]","[45, -96, 108]","[66, -74, -324]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,153.0,-6.485,0.14399999999999835,POINT (-4.12089 50.33684),False,True,False,False,False
2018-02-26T13:13:27.5750+00:00,318403,1519650807.575,-4.12076,50.33683,189,11.812000000000001,False,1407,5.44,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:27.4770+00:00,318305,"[46, 82, 700]","[-80, -8, -22]","[61, -59, -351]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,82.0,-6.372000000000001,0.11299999999999955,POINT (-4.12076 50.33683),False,True,False,False,False
2018-02-26T13:13:33.5950+00:00,324423,1519650813.595,-4.12065,50.33681,184,11.5,False,1372,5.303,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:33.4780+00:00,324306,"[88, 52, 673]","[82, 26, -9]","[43, -47, -351]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,52.0,-6.197,0.1750000000000007,POINT (-4.12065 50.33681),False,True,False,False,False
2018-02-26T13:13:39.6150+00:00,330443,1519650819.615,-4.12054,50.3368,180,11.25,False,1355,5.236000000000001,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:39.7290+00:00,330557,"[-145, 161, 605]","[32, -35, 51]","[87, -81, -303]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,161.0,-6.013999999999999,0.18300000000000072,POINT (-4.12054 50.3368),False,True,False,False,False
2018-02-26T13:13:45.6350+00:00,336463,1519650825.635,-4.12044,50.33678,178,11.125,False,1342,5.186,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:45.7290+00:00,336557,"[-283, 167, 405]","[2, 111, -15]","[88, -12, -374]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,167.0,-5.939,0.07499999999999929,POINT (-4.12044 50.33678),False,True,False,False,False
2018-02-26T13:13:51.6550+00:00,342483,1519650831.655,-4.12023,50.33674,175,10.937999999999999,False,1339,5.1739999999999995,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:51.7290+00:00,342557,"[3, 156, 675]","[185, -8, 3]","[60, -76, -328]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,156.0,-5.763999999999999,0.1750000000000007,POINT (-4.12023 50.33674),False,True,False,False,False
2018-02-26T13:13:57.6750+00:00,348503,1519650837.675,-4.12012,50.33672,173,10.812000000000001,False,1308,5.052,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:13:57.7290+00:00,348557,"[24, 138, 611]","[-24, 61, 67]","[51, -63, -349]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,138.0,-5.760000000000002,0.003999999999997783,POINT (-4.12012 50.33672),False,True,False,True,False
2018-02-26T13:14:03.6960+00:00,354524,1519650843.696,-4.11999,50.3367,169,10.562000000000001,False,1269,4.899,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:03.7300+00:00,354558,"[-16, -43, 231]","[95, -27, -41]","[87, -51, -337]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,-43.0,-5.663000000000001,0.09700000000000042,POINT (-4.11999 50.3367),False,False,False,False,False
2018-02-26T13:14:09.7160+00:00,360544,1519650849.716,-4.11988,50.33667,167,10.437999999999999,False,1241,4.79,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:09.7300+00:00,360558,"[-100, 74, 250]","[-136, -2, 57]","[83, -53, -339]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,74.0,-5.647999999999999,0.015000000000002345,POINT (-4.11988 50.33667),False,False,False,False,False
2018-02-26T13:14:15.7360+00:00,366564,1519650855.736,-4.11978,50.33662,164,10.25,False,1246,4.809,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:15.7400+00:00,366568,"[26, 9, 274]","[174, 48, -58]","[103, -21, -363]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,9.0,-5.441,0.20699999999999896,POINT (-4.11978 50.33662),False,False,False,False,False
2018-02-26T13:14:21.7550+00:00,372583,1519650861.755,-4.11964,50.33651,162,10.125,False,1242,4.794,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:21.7290+00:00,372557,"[-85, 57, 252]","[-205, 23, 90]","[77, -21, -353]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,57.0,-5.331,0.10999999999999943,POINT (-4.11964 50.33651),False,False,False,False,False
2018-02-26T13:14:27.7750+00:00,378603,1519650867.775,-4.11955,50.33648,160,10.0,False,1249,4.821000000000001,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:27.7280+00:00,378556,"[380, 197, 1168]","[-91, -28, -179]","[93, -37, -347]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,197.0,-5.178999999999999,0.15200000000000102,POINT (-4.11955 50.33648),False,False,False,False,False
2018-02-26T13:14:33.7950+00:00,384623,1519650873.795,-4.11949,50.33643,159,9.937999999999999,False,1266,4.888,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:33.7290+00:00,384557,"[8, 72, 316]","[-65, 69, 57]","[90, -14, -366]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,72.0,-5.049999999999999,0.12900000000000045,POINT (-4.11949 50.33643),False,False,False,False,False
2018-02-26T13:14:39.8140+00:00,390642,1519650879.814,-4.11945,50.33639,158,9.875,False,1269,4.899,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:39.7260+00:00,390554,"[127, -31, 693]","[174, 54, 193]","[73, -41, -347]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,-31.0,-4.976,0.07399999999999896,POINT (-4.11945 50.33639),False,False,False,False,False
2018-02-26T13:14:45.8340+00:00,396662,1519650885.834,-4.11938,50.33638,157,9.812000000000001,False,1255,4.845,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:45.7260+00:00,396554,"[164, 61, 577]","[-302, 0, 6]","[57, -45, -345]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,61.0,-4.967000000000001,0.008999999999998565,POINT (-4.11938 50.33638),False,False,False,False,False
2018-02-26T13:14:51.8550+00:00,402683,1519650891.855,-4.11926,50.33634,155,9.687999999999999,False,1258,4.856,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:51.9790+00:00,402807,"[-72, 130, 575]","[-234, 51, 23]","[49, -21, -365]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,130.0,-4.831999999999999,0.13500000000000245,POINT (-4.11926 50.33634),False,False,False,False,False
2018-02-26T13:14:57.8760+00:00,408704,1519650897.876,-4.11926,50.33634,154,9.625,False,1270,4.9030000000000005,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:14:57.9800+00:00,408808,"[82, 32, 500]","[93, 4, 75]","[34, -40, -364]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,32.0,-4.7219999999999995,0.10999999999999943,POINT (-4.11926 50.33634),False,False,False,False,False
2018-02-26T13:15:03.8950+00:00,414723,1519650903.895,-4.11922,50.33634,153,9.562000000000001,False,1281,4.946000000000001,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:15:03.9790+00:00,414807,"[57, 156, 534]","[-6, -82, -63]","[24, -66, -334]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,156.0,-4.6160000000000005,0.10599999999999898,POINT (-4.11922 50.33634),False,False,False,False,False
2018-02-26T13:15:09.9150+00:00,420743,1519650909.915,-4.11916,50.33632,152,9.5,False,1275,4.923,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:15:09.9790+00:00,420807,"[89, 45, 447]","[-9, -22, 110]","[18, -52, -338]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,45.0,-4.577,0.03900000000000059,POINT (-4.11916 50.33632),False,False,False,False,False
2018-02-26T13:15:15.9350+00:00,426763,1519650915.935,-4.11913,50.33632,151,9.437999999999999,False,1273,4.915,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:15:15.9800+00:00,426808,"[134, 20, 352]","[62, 22, -17]","[46, 2, -372]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,20.0,-4.522999999999999,0.05400000000000116,POINT (-4.11913 50.33632),False,False,False,False,False
2018-02-26T13:15:21.9550+00:00,432783,1519650921.955,-4.11907,50.33627,153,9.562000000000001,False,1338,5.17,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:15:21.9790+00:00,432807,"[277, 63, 692]","[-95, 298, -25]","[105, 49, -371]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,63.0,-4.392000000000001,0.13099999999999756,POINT (-4.11907 50.33627),False,True,False,False,False
2018-02-26T13:15:27.9740+00:00,438802,1519650927.974,-4.11906,50.33623,152,9.5,False,1376,5.319,False,,,,,,,google_102847823526503707395_000666D6B7FD_180226130828,13288.0,D6B7FD,2018-02-26T13:15:27.9790+00:00,438807,"[-20, 113, 312]","[129, 47, 83]","[73, -25, -365]",google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD,113.0,-4.181,0.2110000000000012,POINT (-4.11906 50.33623),False,True,False,False,False
