utc,sample_time,a,g,m,epoch,session,fin_id
2018-02-26T13:08:39.1230+00:00,29951,"[4, 400, -348]","[25, 15, 7]","[12, -88, 2]",1519650519.1230,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:39.3740+00:00,30202,"[4, 399, -347]","[24, 15, 8]","[13, -89, 5]",1519650519.3740,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:39.6240+00:00,30452,"[5, 399, -346]","[23, 15, 8]","[12, -82, 6]",1519650519.6240,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:39.8750+00:00,30703,"[5, 399, -347]","[24, 15, 8]","[11, -81, 9]",1519650519.8750,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:40.1260+00:00,30954,"[5, 400, -347]","[24, 15, 8]","[18, -76, 6]",1519650520.1260,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:40.3770+00:00,31205,"[4, 400, -348]","[24, 16, 7]","[14, -84, 16]",1519650520.3770,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:40.6280+00:00,31456,"[5, 400, -348]","[25, 15, 7]","[10, -74, -2]",1519650520.6280,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:40.8790+00:00,31707,"[5, 400, -348]","[24, 14, 8]","[16, -82, -2]",1519650520.8790,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:41.1310+00:00,31959,"[5, 399, -347]","[24, 14, 8]","[13, -87, 7]",1519650521.1310,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:41.3810+00:00,32209,"[5, 399, -347]","[23, 14, 7]","[12, -80, 10]",1519650521.3810,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:41.6310+00:00,32459,"[4, 398, -347]","[24, 15, 8]","[8, -86, 12]",1519650521.6310,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:41.8810+00:00,32709,"[5, 400, -347]","[25, 14, 8]","[9, -81, 5]",1519650521.8810,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:42.1230+00:00,32951,"[5, 399, -347]","[25, 15, 8]","[18, -88, -2]",1519650522.1230,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:42.3730+00:00,33201,"[4, 400, -346]","[24, 15, 8]","[8, -78, 12]",1519650522.3730,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:42.6240+00:00,33452,"[6, 399, -347]","[24, 15, 8]","[17, -73, 3]",1519650522.6240,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:42.8740+00:00,33702,"[6, 400, -345]","[24, 14, 8]","[20, -72, 2]",1519650522.8740,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:43.1250+00:00,33953,"[4, 400, -347]","[24, 15, 8]","[13, -83, 5]",1519650523.1250,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:43.3760+00:00,34204,"[4, 400, -346]","[24, 15, 8]","[25, -85, -1]",1519650523.3760,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
2018-02-26T13:08:43.6320+00:00,34460,"[5, 400, -347]","[24, 14, 7]","[12, -78, 6]",1519650523.6320,google_102847823526503707395_000666D6B7FD_180226130828,D6B7FD
