utc_x,sample_time_x,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session_x,session_id,fin_id_x,utc_y,sample_time_y,a,g,m,session_y,fin_id_y,a2,temp_calibrated_diff,delta_temp_diff,coord,wet,temp_2_calibrated_passed,temp_calibrated_diff_passed,delta_temp_diff_passed,a2_passed
2019-08-24T18:43:32.8670+00:00,41356,1566672212.867,-5.15846,50.34622,328,20.15,False,4984,19.535999999999998,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:43:32.8710+00:00,41360,"[-174, 453, 135]","[-16, 29, 9]","[159, -87, -121]",google_102847823526503707395_000666DD9894_190824184310,DD9894,453.0,-0.6140000000000008,-0.037000000000002586,POINT (-5.15846 50.34622),False,True,True,False,True
2019-08-24T18:43:38.8950+00:00,47376,1566672218.8948,-5.15847,50.34627,328,20.15,False,4979,19.517,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:43:38.8600+00:00,47341,"[-175, 452, 134]","[-16, 29, 9]","[160, -80, -128]",google_102847823526503707395_000666DD9894_190824184310,DD9894,452.0,-0.6329999999999991,-0.01899999999999835,POINT (-5.15847 50.34627),False,True,True,False,True
2019-08-24T18:43:44.9230+00:00,53396,1566672224.9226,-5.15848,50.3463,329,20.213,False,4978,19.512999999999998,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:43:44.8630+00:00,53337,"[-174, 452, 135]","[-17, 30, 9]","[163, -83, -125]",google_102847823526503707395_000666DD9894_190824184310,DD9894,452.0,-0.7000000000000028,-0.06700000000000372,POINT (-5.15848 50.3463),False,True,True,False,True
2019-08-24T18:43:50.9490+00:00,59415,1566672230.9494,-5.15849,50.34632,329,20.213,False,4981,19.524,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:43:50.8670+00:00,59333,"[-176, 453, 134]","[-16, 29, 9]","[168, -82, -124]",google_102847823526503707395_000666DD9894_190824184310,DD9894,453.0,-0.6890000000000001,0.011000000000002785,POINT (-5.15849 50.34632),False,True,True,False,True
2019-08-24T18:43:56.9770+00:00,65435,1566672236.9772,-5.15849,50.34632,329,20.213,False,4982,19.528,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:43:56.8840+00:00,65342,"[-174, 452, 135]","[-16, 29, 9]","[162, -82, -124]",google_102847823526503707395_000666DD9894_190824184310,DD9894,452.0,-0.6850000000000023,0.003999999999997783,POINT (-5.15849 50.34632),False,True,True,True,True
2019-08-24T18:44:03.0070+00:00,71457,1566672243.007,-5.15849,50.34631,330,20.277,False,4974,19.497,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:44:03.0880+00:00,71538,"[-175, 453, 134]","[-16, 30, 9]","[166, -82, -122]",google_102847823526503707395_000666DD9894_190824184310,DD9894,453.0,-0.7800000000000011,-0.09499999999999886,POINT (-5.15849 50.34631),False,True,True,False,True
2019-08-24T18:44:09.0350+00:00,77477,1566672249.0348,-5.15849,50.34631,330,20.277,False,4975,19.500999999999998,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:44:09.0940+00:00,77536,"[-176, 452, 134]","[-16, 29, 9]","[161, -83, -125]",google_102847823526503707395_000666DD9894_190824184310,DD9894,452.0,-0.7760000000000034,0.003999999999997783,POINT (-5.15849 50.34631),False,True,True,True,True
2019-08-24T18:44:15.0630+00:00,83497,1566672255.0626,-5.15849,50.34631,330,20.277,False,4972,19.489,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:44:15.1010+00:00,83535,"[-175, 452, 135]","[-16, 29, 8]","[157, -81, -125]",google_102847823526503707395_000666DD9894_190824184310,DD9894,452.0,-0.7880000000000003,-0.011999999999996902,POINT (-5.15849 50.34631),False,True,True,False,True
2019-08-24T18:44:21.0910+00:00,89518,1566672261.0914,-5.15848,50.34631,331,20.34,False,4970,19.480999999999998,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:44:21.1060+00:00,89533,"[-175, 451, 134]","[-16, 28, 8]","[169, -81, -123]",google_102847823526503707395_000666DD9894_190824184310,DD9894,451.0,-0.8590000000000018,-0.0710000000000015,POINT (-5.15848 50.34631),False,True,False,False,True
2019-08-24T18:44:27.1190+00:00,95538,1566672267.1192,-5.15848,50.3463,331,20.34,False,4970,19.480999999999998,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:44:27.1230+00:00,95542,"[-175, 452, 135]","[-16, 29, 8]","[163, -73, -129]",google_102847823526503707395_000666DD9894_190824184310,DD9894,452.0,-0.8590000000000018,0.0,POINT (-5.15848 50.3463),False,True,False,True,True
2019-08-24T18:44:33.1490+00:00,101560,1566672273.149,-5.15848,50.3463,331,20.34,False,4959,19.438,False,,,,,,,google_102847823526503707395_000666DD9894_190824184310,16219.0,DD9894,2019-08-24T18:44:33.1220+00:00,101533,"[-175, 452, 135]","[-16, 29, 9]","[160, -72, -126]",google_102847823526503707395_000666DD9894_190824184310,DD9894,452.0,-0.902000000000001,-0.04299999999999926,POINT (-5.15848 50.3463),False,True,False,False,True
