utc,sample_time,a,g,m,epoch,session,fin_id
2017-06-02T16:12:58.0210+00:00,28699,"[57, -214, 314]","[233, -11, 15]","[40, 20, 15]",1496419978.0209,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:12:58.2790+00:00,28955,"[122, -329, 720]","[-213, -48, -24]","[169, 185, 99]",1496419978.2786,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:12:58.5290+00:00,29204,"[148, -224, 408]","[-32, 35, -63]","[172, 182, 80]",1496419978.5293,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:12:58.7820+00:00,29455,"[-10, -262, 437]","[34, 10, -26]","[173, 175, 83]",1496419978.7820,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:12:59.0330+00:00,29704,"[67, -151, 291]","[-8, -63, -34]","[160, 188, 78]",1496419979.0326,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:12:59.2850+00:00,29955,"[83, -371, 621]","[30, 29, -43]","[160, 198, 72]",1496419979.2853,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:12:59.5360+00:00,30204,"[136, -182, 287]","[-185, 33, -38]","[153, 203, 85]",1496419979.5360,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:12:59.7890+00:00,30455,"[47, -325, 486]","[126, 9, 28]","[152, 204, 96]",1496419979.7887,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:00.0390+00:00,30704,"[117, -126, 330]","[102, -51, 10]","[142, 182, 82]",1496419980.0394,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:00.2920+00:00,30955,"[317, -239, 777]","[-138, 65, -20]","[136, 202, 86]",1496419980.2920,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:00.5430+00:00,31204,"[137, -106, 267]","[-82, 12, -33]","[139, 201, 81]",1496419980.5427,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:00.7950+00:00,31455,"[171, -221, 447]","[-108, -105, -34]","[138, 210, 102]",1496419980.7954,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:00.9960+00:00,31654,"[42, -199, 317]","[279, -65, -63]","[126, 210, 88]",1496419980.9957,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:01.2470+00:00,31904,"[421, -261, 882]","[-148, -113, -53]","[101, 205, 91]",1496419981.2474,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:01.5000+00:00,32155,"[227, -258, 512]","[-99, 5, -32]","[102, 210, 82]",1496419981.5001,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:01.7520+00:00,32405,"[-10, -161, 308]","[7, 174, 24]","[117, 201, 101]",1496419981.7518,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:02.0020+00:00,32654,"[42, -298, 518]","[-30, 98, 39]","[132, 202, 102]",1496419982.0025,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:02.2550+00:00,32905,"[-24, -221, 343]","[-36, 15, 12]","[144, 220, 120]",1496419982.2552,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
2017-06-02T16:13:02.5070+00:00,33155,"[109, -199, 334]","[107, 99, -21]","[134, 220, 132]",1496419982.5068,google_107809231694128808339_0006667E22BA_170602161248,7E22BA
