utc_x,sample_time_x,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session_x,session_id,fin_id_x,utc_y,sample_time_y,a,g,m,session_y,fin_id_y,a2,temp_calibrated_diff,delta_temp_diff,coord,wet,temp_2_calibrated_passed,temp_calibrated_diff_passed,delta_temp_diff_passed,a2_passed
2019-08-27T19:14:32.5360+00:00,9714068,1566933272.5363,-117.25453,32.86648,590,36.875,False,8930,34.995,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:14:33.0660+00:00,9714597,"[-41, 217, -455]","[34, 83, -19]","[131, 153, 371]",google_107809231694128808339_000666D321B7_190827191424,D321B7,217.0,-1.8800000000000026,0.0,POINT (-117.25453 32.86648),False,True,False,True,False
2019-08-27T19:14:38.5630+00:00,9720088,1566933278.5631,-117.25462,32.8665,596,37.25,False,8996,35.253,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:14:38.5780+00:00,9720103,"[17, 235, -443]","[17, -1, -29]","[165, 131, 373]",google_107809231694128808339_000666D321B7_190827191424,D321B7,235.0,-1.9969999999999999,-0.11699999999999733,POINT (-117.25462 32.8665),False,True,False,False,False
2019-08-27T19:14:44.5900+00:00,9726108,1566933284.5898,-117.25469,32.86654,601,37.562,False,9057,35.492,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:14:44.5940+00:00,9726112,"[4, 227, -703]","[9, -66, -19]","[154, 136, 376]",google_107809231694128808339_000666D321B7_190827191424,D321B7,227.0,-2.0700000000000003,-0.0730000000000004,POINT (-117.25469 32.86654),True,True,False,False,False
2019-08-27T19:14:50.6170+00:00,9732128,1566933290.6166,-117.25474,32.86655,605,37.812,False,9107,35.687,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:14:50.5900+00:00,9732101,"[77, 237, -520]","[62, 6, 15]","[154, 150, 378]",google_107809231694128808339_000666D321B7_190827191424,D321B7,237.0,-2.125,-0.054999999999999716,POINT (-117.25474 32.86655),True,True,False,False,False
2019-08-27T19:14:56.6430+00:00,9738148,1566933296.6433,-117.25479,32.86658,608,38.0,False,9140,35.816,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:14:56.5960+00:00,9738101,"[-37, 222, -540]","[128, -30, -49]","[176, 140, 376]",google_107809231694128808339_000666D321B7_190827191424,D321B7,222.0,-2.1839999999999975,-0.0589999999999975,POINT (-117.25479 32.86658),True,True,False,False,False
2019-08-27T19:15:02.6710+00:00,9744169,1566933302.6711,-117.25485,32.86661,610,38.125,False,9166,35.918,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:15:02.6030+00:00,9744101,"[-27, 293, -406]","[-43, 3, 35]","[197, 121, 367]",google_107809231694128808339_000666D321B7_190827191424,D321B7,293.0,-2.2070000000000007,-0.02300000000000324,POINT (-117.25485 32.86661),True,True,False,False,False
2019-08-27T19:15:08.6980+00:00,9750189,1566933308.6979,-117.25493,32.86665,612,38.25,False,9187,36.0,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:15:08.6100+00:00,9750101,"[3, 269, -435]","[29, 60, -115]","[185, 125, 369]",google_107809231694128808339_000666D321B7_190827191424,D321B7,269.0,-2.25,-0.04299999999999926,POINT (-117.25493 32.86665),True,True,False,False,False
2019-08-27T19:15:14.7250+00:00,9756209,1566933314.7246,-117.25497,32.86667,614,38.375,False,9219,36.125,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:15:14.6160+00:00,9756101,"[22, 261, -524]","[-38, 67, 2]","[176, 118, 368]",google_107809231694128808339_000666D321B7_190827191424,D321B7,261.0,-2.25,0.0,POINT (-117.25497 32.86667),True,True,False,True,False
2019-08-27T19:15:20.7510+00:00,9762229,1566933320.7514,-117.255,32.86668,615,38.438,False,9233,36.18,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:15:20.8760+00:00,9762353,"[-102, 216, -695]","[182, -56, 15]","[186, 156, 370]",google_107809231694128808339_000666D321B7_190827191424,D321B7,216.0,-2.2580000000000027,-0.008000000000002672,POINT (-117.255 32.86668),True,True,False,False,False
2019-08-27T19:15:26.7770+00:00,9768248,1566933326.7771,-117.25503,32.86669,616,38.5,False,9246,36.23,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:15:26.8810+00:00,9768352,"[-22, 211, -656]","[87, 48, 21]","[200, 148, 374]",google_107809231694128808339_000666D321B7_190827191424,D321B7,211.0,-2.270000000000003,-0.012000000000000455,POINT (-117.25503 32.86669),True,True,False,False,False
2019-08-27T19:15:32.8040+00:00,9774268,1566933332.8039,-117.25506,32.86671,616,38.5,False,9225,36.148,False,,,,,,,google_107809231694128808339_000666D321B7_190827191424,16227.0,D321B7,2019-08-27T19:15:32.8880+00:00,9774352,"[-59, 176, -489]","[-67, -15, -71]","[215, 141, 367]",google_107809231694128808339_000666D321B7_190827191424,D321B7,176.0,-2.3519999999999968,-0.08199999999999363,POINT (-117.25506 32.86671),True,True,False,False,False
