utc,sample_time,a,g,m,epoch,session,fin_id
2019-08-27T19:14:33.0660+00:00,9714597,"[-41, 217, -455]","[34, 83, -19]","[131, 153, 371]",1566933273.0659,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:33.3160+00:00,9714847,"[-10, 240, -455]","[-17, 40, -54]","[133, 151, 371]",1566933273.3162,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:33.5670+00:00,9715098,"[-92, 181, -542]","[45, 1, -20]","[134, 166, 368]",1566933273.5675,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:33.8190+00:00,9715349,"[-1, 128, -502]","[-154, -11, 29]","[138, 150, 376]",1566933273.8188,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:34.0700+00:00,9715600,"[-143, 267, -320]","[81, -5, 26]","[135, 141, 365]",1566933274.0700,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:34.3200+00:00,9715850,"[33, 223, -394]","[-37, 39, -8]","[125, 153, 375]",1566933274.3203,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:34.5720+00:00,9716101,"[-29, 226, -590]","[91, -26, 12]","[135, 149, 375]",1566933274.5716,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:34.8220+00:00,9716351,"[24, 139, -413]","[-73, 46, 21]","[127, 153, 369]",1566933274.8219,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:35.0720+00:00,9716601,"[-53, 279, -610]","[-42, -91, 38]","[138, 136, 374]",1566933275.0722,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:35.3220+00:00,9716851,"[23, 185, -370]","[57, 23, -8]","[137, 145, 377]",1566933275.3224,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:35.5730+00:00,9717101,"[27, 273, -613]","[32, -19, 2]","[141, 147, 373]",1566933275.5727,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:35.8250+00:00,9717353,"[-4, 170, -362]","[-72, 63, -14]","[136, 150, 380]",1566933275.8250,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:36.0750+00:00,9717603,"[-12, 202, -654]","[-99, -9, -3]","[137, 121, 375]",1566933276.0753,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:36.3270+00:00,9717854,"[25, 211, -361]","[55, 30, 2]","[142, 144, 386]",1566933276.3266,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:36.5780+00:00,9718105,"[14, 270, -498]","[42, -31, -10]","[139, 141, 373]",1566933276.5778,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:36.8290+00:00,9718356,"[-38, 187, -404]","[37, 52, -25]","[141, 157, 369]",1566933276.8291,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:37.0700+00:00,9718597,"[7, 167, -586]","[-149, -29, 3]","[146, 144, 372]",1566933277.0704,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:37.3210+00:00,9718847,"[-36, 219, -423]","[33, 21, 34]","[149, 133, 371]",1566933277.3207,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:37.5740+00:00,9719100,"[21, 252, -452]","[6, 5, 27]","[151, 151, 383]",1566933277.5740,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:37.8240+00:00,9719350,"[-150, 262, -443]","[49, -1, 24]","[161, 147, 373]",1566933277.8242,google_107809231694128808339_000666D321B7_190827191424,D321B7
2019-08-27T19:14:38.0760+00:00,9719601,"[31, 157, -510]","[-178, -14, 8]","[156, 134, 384]",1566933278.0755,google_107809231694128808339_000666D321B7_190827191424,D321B7
