utc_x,sample_time_x,epoch,lon,lat,temp_1,temp_1_Calibrated,temp_1_Stable,temp_2,temp_2_Calibrated,temp_2_Stable,salinity,salinity_Calibrated,salinity_Stable,pH,pH_Calibrated,pH_Stable,session_x,session_id,fin_id_x,utc_y,sample_time_y,a,g,m,session_y,fin_id_y,a2,temp_calibrated_diff,delta_temp_diff,coord,wet,temp_2_calibrated_passed,temp_calibrated_diff_passed,delta_temp_diff_passed,a2_passed
2017-10-08T18:27:35.9790+00:00,41024,1507487255.9793,-117.25638,32.85835,503,31.438000000000002,False,7923,31.006,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:27:36.0450+00:00,41090,"[84, -483, -140]","[-3, -11, 6]","[148, 68, -192]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-0.43200000000000216,-0.05900000000000105,POINT (-117.25638 32.85835),False,True,True,False,False
2017-10-08T18:27:42.0150+00:00,47045,1507487262.015,-117.25638,32.85835,507,31.688000000000002,False,7955,31.131,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:27:42.0600+00:00,47090,"[85, -482, -140]","[-4, -12, 6]","[149, 65, -195]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-0.5570000000000022,-0.125,POINT (-117.25638 32.85835),False,True,True,False,False
2017-10-08T18:27:48.0510+00:00,53066,1507487268.0506,-117.25638,32.85835,508,31.75,False,7975,31.209,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:27:48.0740+00:00,53089,"[84, -483, -140]","[-3, -10, 7]","[147, 65, -189]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-0.5410000000000004,0.01600000000000179,POINT (-117.25638 32.85835),False,True,True,False,False
2017-10-08T18:27:54.0850+00:00,59086,1507487274.0853,-117.25639,32.85834,511,31.938000000000002,False,8020,31.385,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:27:54.0960+00:00,59097,"[83, -483, -139]","[-2, -11, 6]","[155, 69, -193]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-0.5530000000000008,-0.012000000000000455,POINT (-117.25639 32.85834),False,True,True,False,False
2017-10-08T18:28:00.1230+00:00,65109,1507487280.123,-117.25638,32.85834,513,32.062,False,8053,31.514,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:00.1040+00:00,65090,"[84, -482, -139]","[-3, -12, 5]","[151, 63, -183]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-0.5479999999999983,0.005000000000002558,POINT (-117.25638 32.85834),False,True,True,False,False
2017-10-08T18:28:06.1590+00:00,71130,1507487286.1586,-117.25638,32.85834,516,32.25,False,8063,31.553,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:06.1190+00:00,71090,"[84, -482, -140]","[-3, -11, 7]","[148, 64, -196]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-0.6969999999999992,-0.1490000000000009,POINT (-117.25638 32.85834),False,True,True,False,False
2017-10-08T18:28:12.1920+00:00,77149,1507487292.1923,-117.25638,32.85834,518,32.375,False,8080,31.619,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:12.1330+00:00,77090,"[85, -483, -137]","[-2, -11, 6]","[147, 77, -187]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-0.7560000000000002,-0.05900000000000105,POINT (-117.25638 32.85834),False,True,True,False,False
2017-10-08T18:28:18.2270+00:00,83169,1507487298.2269,-117.25638,32.85834,520,32.5,False,8065,31.56,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:18.1470+00:00,83089,"[84, -482, -139]","[-2, -11, 6]","[147, 69, -195]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-0.9400000000000013,-0.18400000000000105,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:28:24.2620+00:00,89189,1507487304.2616,-117.25638,32.85834,520,32.5,False,8059,31.537,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:24.1620+00:00,89090,"[84, -483, -138]","[-3, -10, 6]","[151, 69, -185]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-0.963000000000001,-0.022999999999999687,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:28:30.2960+00:00,95209,1507487310.2963,-117.25638,32.85834,522,32.625,False,8058,31.533,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:30.3770+00:00,95290,"[83, -481, -137]","[-4, -11, 7]","[157, 75, -195]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-481.0,-1.0919999999999987,-0.12899999999999778,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:28:36.3310+00:00,101229,1507487316.3309,-117.25638,32.85834,523,32.688,False,8052,31.51,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:36.3910+00:00,101289,"[84, -483, -138]","[-2, -11, 7]","[151, 67, -187]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-1.1780000000000008,-0.08600000000000207,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:28:42.3650+00:00,107248,1507487322.3646,-117.25638,32.85834,525,32.812,False,8064,31.557,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:42.4070+00:00,107290,"[84, -483, -140]","[-2, -11, 6]","[150, 64, -188]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-1.254999999999999,-0.07699999999999818,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:28:48.4000+00:00,113269,1507487328.4002,-117.25638,32.85834,526,32.875,False,8079,31.615,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:48.4200+00:00,113289,"[84, -482, -137]","[-2, -11, 6]","[156, 64, -200]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.2600000000000016,-0.005000000000002558,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:28:54.4350+00:00,119289,1507487334.4349,-117.25638,32.85834,528,33.0,False,8107,31.725,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:28:54.4460+00:00,119300,"[85, -482, -137]","[-2, -11, 6]","[159, 67, -191]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.2749999999999986,-0.014999999999997016,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:00.4700+00:00,125309,1507487340.4695,-117.25638,32.85834,530,33.125,False,8141,31.857,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:00.4510+00:00,125290,"[83, -483, -138]","[-2, -10, 7]","[151, 73, -197]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-1.2680000000000007,0.006999999999997897,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:06.5050+00:00,131330,1507487346.5052,-117.25638,32.85834,531,33.188,False,8153,31.904,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:06.4650+00:00,131290,"[84, -482, -138]","[-3, -11, 6]","[160, 66, -200]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.2840000000000025,-0.01600000000000179,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:12.5410+00:00,137351,1507487352.5409,-117.25638,32.85834,532,33.25,False,8165,31.951,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:12.4790+00:00,137289,"[84, -481, -136]","[-1, -10, 6]","[146, 62, -192]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-481.0,-1.2989999999999995,-0.014999999999997016,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:18.5760+00:00,143371,1507487358.5755,-117.25638,32.85834,530,33.125,False,8118,31.767,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:18.4930+00:00,143289,"[83, -482, -137]","[-2, -11, 6]","[146, 68, -194]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.3580000000000005,-0.05900000000000105,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:24.6100+00:00,149391,1507487364.6102,-117.25638,32.85834,530,33.125,False,8057,31.529,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:24.7090+00:00,149490,"[83, -485, -139]","[-2, -11, 6]","[144, 60, -184]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-485.0,-1.596,-0.23799999999999955,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:30.6440+00:00,155410,1507487370.6438,-117.25638,32.85834,531,33.188,False,8025,31.404,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:30.7230+00:00,155489,"[84, -482, -136]","[-2, -10, 8]","[148, 74, -194]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.7840000000000025,-0.1880000000000024,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:36.6790+00:00,161430,1507487376.6785,-117.25638,32.85834,532,33.25,False,8001,31.311,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:36.7390+00:00,161490,"[85, -482, -137]","[-2, -11, 6]","[150, 70, -192]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.939,-0.15499999999999758,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:42.7130+00:00,167450,1507487382.7132,-117.25638,32.85834,532,33.25,False,8025,31.404,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:42.7530+00:00,167490,"[83, -483, -136]","[-3, -11, 6]","[152, 70, -186]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-1.846,0.09299999999999997,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:48.7470+00:00,173469,1507487388.7468,-117.25638,32.85834,534,33.375,False,8039,31.459,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:48.7680+00:00,173490,"[83, -482, -137]","[-2, -11, 7]","[150, 66, -196]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.9160000000000004,-0.07000000000000028,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:29:54.7810+00:00,179489,1507487394.7815,-117.25638,32.85834,534,33.375,False,8065,31.56,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:29:54.7930+00:00,179500,"[84, -480, -135]","[-2, -10, 7]","[159, 71, -191]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-480.0,-1.8150000000000013,0.10099999999999909,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:00.8160+00:00,185509,1507487400.8161,-117.25638,32.85834,536,33.5,False,8102,31.705,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:00.7960+00:00,185489,"[84, -483, -136]","[-3, -11, 8]","[147, 69, -187]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-1.7950000000000017,0.019999999999999574,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:06.8500+00:00,191528,1507487406.8498,-117.25638,32.85834,538,33.625,False,8122,31.783,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:06.8120+00:00,191490,"[84, -481, -137]","[-3, -11, 7]","[148, 72, -184]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-481.0,-1.8419999999999987,-0.046999999999997044,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:12.8850+00:00,197549,1507487412.8855,-117.25638,32.85834,539,33.688,False,8150,31.892,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:12.8260+00:00,197490,"[82, -482, -134]","[-2, -11, 7]","[150, 66, -194]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.796000000000003,0.04599999999999582,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:18.9200+00:00,203569,1507487418.9201,-117.25638,32.85834,541,33.812,False,8176,31.994,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:18.8400+00:00,203489,"[84, -481, -136]","[-2, -11, 6]","[151, 67, -193]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-481.0,-1.8179999999999978,-0.021999999999994913,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:24.9550+00:00,209589,1507487424.9548,-117.25638,32.85834,542,33.875,False,8216,32.15,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:24.8560+00:00,209490,"[83, -482, -135]","[-2, -11, 7]","[153, 67, -195]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.7250000000000014,0.09299999999999642,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:30.9890+00:00,215609,1507487430.9894,-117.25638,32.85834,544,34.0,False,8263,32.334,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:31.0700+00:00,215689,"[83, -483, -137]","[-1, -11, 8]","[145, 73, -189]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-1.6659999999999968,0.059000000000004604,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:37.0230+00:00,221628,1507487437.0231,-117.25638,32.85834,547,34.188,False,8301,32.482,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:37.0840+00:00,221689,"[84, -483, -136]","[-2, -10, 6]","[162, 62, -192]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-1.706000000000003,-0.04000000000000625,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:43.0590+00:00,227649,1507487443.0588,-117.25638,32.85834,549,34.312,False,8357,32.701,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:43.0990+00:00,227689,"[83, -482, -136]","[-3, -10, 6]","[153, 73, -197]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.610999999999997,0.09500000000000597,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:49.0940+00:00,233670,1507487449.0944,-117.25638,32.85834,552,34.5,False,8391,32.834,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:49.1140+00:00,233690,"[84, -482, -136]","[-2, -10, 7]","[153, 75, -189]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-482.0,-1.6659999999999968,-0.054999999999999716,POINT (-117.25638 32.85834),False,True,False,False,False
2017-10-08T18:30:55.1290+00:00,239690,1507487455.1291,-117.25638,32.85834,554,34.625,False,8398,32.861,False,,,,,,,google_107952460032017511585_0006666BD645_171008182714,12008.0,6BD645,2017-10-08T18:30:55.1400+00:00,239701,"[84, -483, -135]","[-1, -12, 7]","[154, 76, -184]",google_107952460032017511585_0006666BD645_171008182714,6BD645,-483.0,-1.764000000000003,-0.09800000000000608,POINT (-117.25638 32.85834),False,True,False,False,False
